Hotel Name,City,State,Nearest Airport 1,Distance to Airport 1 (miles),Nearest Airport 2,Distance to Airport 2 (miles),Nearest Airport 3,Distance to Airport 3 (miles),Average Price per Night (USD)
Desert Resort,Seattle,WA,SEA,22.6,PAE,35.4,BFI,20.8,231.5
Garden Court Hotel,Atlanta,GA,ATL,21.3,PBI,9.6,BHM,33.4,284.05
Harbor View Hotel,Atlanta,GA,ATL,24.9,PBI,47.2,BHM,35.2,242.86
Emerald Isle Hotel,Miami,FL,MIA,21.4,FLL,37.4,PBI,28.5,144.38
Maple Leaf Lodge,Chicago,IL,ORD,42.7,MDW,5.8,RFD,33.9,296.16
Pine Tree Inn,Chicago,IL,ORD,43.8,MDW,36.1,RFD,43.8,279.16
Ocean View Hotel,Seattle,WA,SEA,43.0,PAE,35.7,BFI,19.3,222.28
Skyline Suites,Miami,FL,MIA,26.0,FLL,6.0,PBI,4.3,124.54
Capitol Stay,Miami,FL,MIA,10.8,FLL,35.3,PBI,39.6,142.27
Sunset Inn,Washington,DC,DCA,45.8,IAD,9.0,BWI,29.7,196.94
Metro Inn,Chicago,IL,ORD,2.3,MDW,6.2,RFD,6.1,286.66
Maple Leaf Lodge,Chicago,IL,ORD,39.6,MDW,37.8,RFD,40.3,215.28
Sunset Inn,Los Angeles,CA,LAX,23.4,BUR,9.4,LGB,33.5,209.35
Maple Leaf Lodge,Atlanta,GA,ATL,4.7,PBI,28.7,BHM,10.8,199.77
Pine Tree Inn,Miami,FL,MIA,14.5,FLL,41.9,PBI,38.3,246.91
Metro Inn,Phoenix,AZ,PHX,26.4,AZA,9.2,SDL,18.2,282.69
Bay Area Hotel,Los Angeles,CA,LAX,8.6,BUR,4.9,LGB,15.9,155.78
Skyline Suites,Los Angeles,CA,LAX,21.8,BUR,13.8,LGB,9.6,248.74
Ocean View Hotel,St. Louis,MO,STL,35.6,CPS,10.7,BLV,26.6,294.06
Mountain Peak Lodge,Los Angeles,CA,LAX,35.6,BUR,35.8,LGB,43.8,289.33
City Center Lodge,Phoenix,AZ,PHX,46.6,AZA,25.8,SDL,42.0,270.57
Sunset Inn,Seattle,WA,SEA,8.2,PAE,31.5,BFI,35.2,159.68
Palm Grove Hotel,San Francisco,CA,SFO,45.3,OAK,33.9,SJC,9.7,150.68
Bay Area Hotel,Miami,FL,MIA,38.9,FLL,42.7,PBI,18.5,267.66
Urban Retreat,Seattle,WA,SEA,19.2,PAE,19.2,BFI,49.6,281.24
Harbor View Hotel,New York,NY,JFK,34.2,LGA,10.2,EWR,40.7,174.94
Metro Inn,Atlanta,GA,ATL,38.1,PBI,41.4,BHM,4.7,258.6
Urban Retreat,Chicago,IL,ORD,18.6,MDW,38.4,RFD,0.5,156.38
Golden Gate Hotel,Los Angeles,CA,LAX,11.8,BUR,37.5,LGB,49.7,100.67
Skyline Suites,St. Louis,MO,STL,19.3,CPS,2.4,BLV,15.8,155.58
Harbor View Hotel,Chicago,IL,ORD,23.4,MDW,49.0,RFD,49.0,191.12
Harbor View Hotel,St. Louis,MO,STL,11.7,CPS,48.6,BLV,35.6,165.63
Bay Area Hotel,Miami,FL,MIA,20.4,FLL,1.8,PBI,17.9,107.7
Ocean View Hotel,Seattle,WA,SEA,28.8,PAE,14.0,BFI,29.9,118.85
Palm Grove Hotel,Chicago,IL,ORD,38.4,MDW,26.5,RFD,23.3,111.65
Sapphire Hotel,Washington,DC,DCA,29.5,IAD,12.6,BWI,49.5,155.04
Maple Leaf Lodge,New York,NY,JFK,23.9,LGA,9.1,EWR,34.4,136.69
Mountain Peak Lodge,Chicago,IL,ORD,21.8,MDW,1.0,RFD,29.7,219.08
Golden Gate Hotel,Los Angeles,CA,LAX,46.0,BUR,7.3,LGB,10.6,218.88
Sapphire Hotel,Phoenix,AZ,PHX,12.2,AZA,38.3,SDL,1.4,142.22
Sapphire Hotel,New York,NY,JFK,27.4,LGA,46.9,EWR,5.2,273.37
Bay Area Hotel,Atlanta,GA,ATL,27.1,PBI,29.4,BHM,24.6,282.44
Urban Retreat,San Francisco,CA,SFO,43.8,OAK,16.9,SJC,32.5,112.21
City Center Lodge,Washington,DC,DCA,24.0,IAD,5.3,BWI,32.0,232.54
Bay Area Hotel,Phoenix,AZ,PHX,32.6,AZA,19.9,SDL,29.3,114.27
Maple Leaf Lodge,San Francisco,CA,SFO,24.8,OAK,42.6,SJC,28.3,112.61
City Center Lodge,Seattle,WA,SEA,10.8,PAE,36.4,BFI,10.1,120.26
Urban Retreat,Los Angeles,CA,LAX,45.0,BUR,24.3,LGB,46.1,220.82
Riverfront Hotel,New York,NY,JFK,2.7,LGA,0.6,EWR,31.2,137.82
Urban Retreat,Miami,FL,MIA,7.5,FLL,38.2,PBI,35.2,215.97
Mountain Peak Lodge,Atlanta,GA,ATL,10.4,PBI,10.3,BHM,15.5,112.18
Palm Grove Hotel,New York,NY,JFK,29.5,LGA,10.7,EWR,11.5,181.06
Golden Gate Hotel,New York,NY,JFK,13.5,LGA,26.8,EWR,18.1,282.94
Capitol Stay,New York,NY,JFK,39.3,LGA,20.8,EWR,11.9,296.44
Palm Grove Hotel,Atlanta,GA,ATL,36.4,PBI,43.6,BHM,31.9,118.17
Mountain Peak Lodge,New York,NY,JFK,30.8,LGA,2.2,EWR,5.1,101.53
Harbor View Hotel,San Francisco,CA,SFO,22.0,OAK,27.6,SJC,30.0,209.94
Maple Leaf Lodge,Seattle,WA,SEA,37.6,PAE,32.5,BFI,8.4,143.33
Crystal Waters Hotel,St. Louis,MO,STL,35.3,CPS,1.5,BLV,39.4,125.47
Golden Gate Hotel,Phoenix,AZ,PHX,44.0,AZA,34.0,SDL,41.5,198.01
Golden Gate Hotel,Atlanta,GA,ATL,0.6,PBI,49.3,BHM,2.8,177.76
Sapphire Hotel,San Francisco,CA,SFO,26.6,OAK,6.2,SJC,27.4,291.12
Broadway Hotel,Seattle,WA,SEA,4.7,PAE,10.6,BFI,1.7,232.04
Central Park Inn,Atlanta,GA,ATL,21.5,PBI,1.7,BHM,9.2,152.72
Crystal Waters Hotel,New York,NY,JFK,43.5,LGA,35.4,EWR,34.9,145.3
Crystal Waters Hotel,San Francisco,CA,SFO,39.2,OAK,48.3,SJC,13.3,200.58
Crystal Waters Hotel,Atlanta,GA,ATL,13.3,PBI,32.7,BHM,21.5,291.9
Emerald Isle Hotel,San Francisco,CA,SFO,18.0,OAK,4.3,SJC,45.2,147.2
Metro Inn,New York,NY,JFK,22.4,LGA,2.2,EWR,5.6,284.9
Grand Plaza,San Francisco,CA,SFO,48.5,OAK,2.3,SJC,14.5,133.66
Broadway Hotel,Phoenix,AZ,PHX,10.0,AZA,3.9,SDL,29.1,229.87
Garden Court Hotel,Chicago,IL,ORD,36.3,MDW,44.2,RFD,14.6,253.13
Urban Retreat,St. Louis,MO,STL,44.1,CPS,26.2,BLV,34.4,294.15
Harbor View Hotel,Miami,FL,MIA,38.1,FLL,29.6,PBI,24.3,213.18
Ocean View Hotel,New York,NY,JFK,16.3,LGA,35.9,EWR,5.8,153.88
Palm Grove Hotel,Atlanta,GA,ATL,31.3,PBI,10.7,BHM,27.0,262.87
Bay Area Hotel,St. Louis,MO,STL,43.8,CPS,34.4,BLV,15.5,256.9
Desert Resort,Washington,DC,DCA,2.0,IAD,10.8,BWI,5.3,218.4
Grand Plaza,Seattle,WA,SEA,13.3,PAE,45.9,BFI,28.5,223.43
Sapphire Hotel,Miami,FL,MIA,21.1,FLL,18.5,PBI,9.1,176.17
City Center Lodge,Washington,DC,DCA,29.9,IAD,34.0,BWI,14.4,182.5
Lakeside Inn,Seattle,WA,SEA,20.8,PAE,43.2,BFI,13.9,245.17
Crystal Waters Hotel,Phoenix,AZ,PHX,44.8,AZA,19.5,SDL,5.5,245.28
Capitol Stay,Seattle,WA,SEA,10.0,PAE,41.5,BFI,3.0,160.91
Garden Court Hotel,New York,NY,JFK,41.3,LGA,12.6,EWR,43.7,234.69
Metro Inn,Miami,FL,MIA,24.9,FLL,45.7,PBI,1.5,299.39
Capitol Stay,San Francisco,CA,SFO,11.2,OAK,29.5,SJC,49.1,203.56
Capitol Stay,Seattle,WA,SEA,19.0,PAE,49.0,BFI,25.0,211.19
Pine Tree Inn,Washington,DC,DCA,36.7,IAD,25.4,BWI,28.1,142.47
Harbor View Hotel,Washington,DC,DCA,7.3,IAD,46.1,BWI,35.4,148.25
Grand Plaza,New York,NY,JFK,47.6,LGA,2.6,EWR,38.5,154.95
Harbor View Hotel,Phoenix,AZ,PHX,45.2,AZA,29.5,SDL,29.7,136.76
Garden Court Hotel,New York,NY,JFK,18.2,LGA,9.7,EWR,31.1,280.69
Riverfront Hotel,New York,NY,JFK,9.8,LGA,3.9,EWR,1.6,127.37
Pine Tree Inn,Washington,DC,DCA,7.5,IAD,41.9,BWI,31.3,280.82
Grand Plaza,Phoenix,AZ,PHX,47.8,AZA,15.5,SDL,38.0,199.12
Maple Leaf Lodge,Los Angeles,CA,LAX,1.2,BUR,23.9,LGB,24.1,274.82
Lakeside Inn,San Francisco,CA,SFO,29.7,OAK,2.5,SJC,23.4,117.66
Mountain Peak Lodge,Chicago,IL,ORD,26.7,MDW,32.6,RFD,23.0,144.82
Broadway Hotel,San Francisco,CA,SFO,27.3,OAK,43.4,SJC,41.7,158.43
Capitol Stay,Phoenix,AZ,PHX,36.9,AZA,26.6,SDL,4.7,159.75
Coastal Breeze Hotel,Los Angeles,CA,LAX,24.5,BUR,35.9,LGB,6.3,118.63
Crystal Waters Hotel,St. Louis,MO,STL,7.4,CPS,49.9,BLV,18.5,120.67
Riverfront Hotel,Atlanta,GA,ATL,14.6,PBI,37.9,BHM,42.2,123.48
Sapphire Hotel,Miami,FL,MIA,3.0,FLL,44.9,PBI,11.1,211.63
Pine Tree Inn,Phoenix,AZ,PHX,10.8,AZA,7.8,SDL,3.5,131.25
Riverfront Hotel,Washington,DC,DCA,29.5,IAD,7.0,BWI,47.2,132.09
Capitol Stay,San Francisco,CA,SFO,11.1,OAK,45.9,SJC,35.0,129.29
Grand Plaza,St. Louis,MO,STL,39.8,CPS,8.8,BLV,49.9,239.99
Broadway Hotel,Washington,DC,DCA,18.6,IAD,24.3,BWI,32.0,227.75
Palm Grove Hotel,Atlanta,GA,ATL,6.0,PBI,16.8,BHM,48.7,154.21
City Center Lodge,Phoenix,AZ,PHX,22.3,AZA,38.2,SDL,28.6,135.41
Central Park Inn,Washington,DC,DCA,35.6,IAD,45.6,BWI,27.2,287.0
Sunset Inn,Atlanta,GA,ATL,49.3,PBI,39.8,BHM,33.2,238.61
Lakeside Inn,Atlanta,GA,ATL,48.9,PBI,47.9,BHM,5.3,132.5
Riverfront Hotel,Los Angeles,CA,LAX,24.1,BUR,44.0,LGB,8.6,298.76
Ocean View Hotel,San Francisco,CA,SFO,32.4,OAK,9.4,SJC,22.9,297.48
Palm Grove Hotel,Seattle,WA,SEA,3.3,PAE,31.2,BFI,42.2,151.54
Pine Tree Inn,Seattle,WA,SEA,12.4,PAE,44.2,BFI,34.7,227.27
Sapphire Hotel,Washington,DC,DCA,43.2,IAD,34.9,BWI,30.7,204.16
Desert Resort,Seattle,WA,SEA,23.2,PAE,45.6,BFI,21.1,284.64
Palm Grove Hotel,Atlanta,GA,ATL,9.5,PBI,21.6,BHM,25.0,233.52
City Center Lodge,New York,NY,JFK,7.5,LGA,4.4,EWR,38.7,192.98
Mountain Peak Lodge,Atlanta,GA,ATL,41.7,PBI,46.4,BHM,42.2,155.4
Bay Area Hotel,Washington,DC,DCA,19.9,IAD,25.2,BWI,22.4,137.22
Crystal Waters Hotel,Los Angeles,CA,LAX,17.0,BUR,7.7,LGB,29.3,149.25
Grand Plaza,San Francisco,CA,SFO,43.7,OAK,39.8,SJC,25.1,152.16
Lakeside Inn,Phoenix,AZ,PHX,34.4,AZA,0.8,SDL,33.2,247.96
Harbor View Hotel,San Francisco,CA,SFO,7.5,OAK,12.6,SJC,32.1,263.51
Broadway Hotel,Miami,FL,MIA,33.4,FLL,18.7,PBI,41.2,125.39
Palm Grove Hotel,Miami,FL,MIA,37.4,FLL,28.1,PBI,39.0,129.06
Palm Grove Hotel,Miami,FL,MIA,27.3,FLL,15.2,PBI,40.2,238.99
Central Park Inn,Miami,FL,MIA,25.6,FLL,23.0,PBI,27.4,135.7
Urban Retreat,Washington,DC,DCA,21.6,IAD,25.7,BWI,18.6,187.26
Mountain Peak Lodge,St. Louis,MO,STL,17.2,CPS,10.2,BLV,13.8,180.28
Bay Area Hotel,New York,NY,JFK,24.7,LGA,35.2,EWR,47.2,139.96
Golden Gate Hotel,St. Louis,MO,STL,28.0,CPS,40.9,BLV,8.7,105.24
Palm Grove Hotel,Miami,FL,MIA,45.3,FLL,38.9,PBI,10.8,238.61
Lakeside Inn,St. Louis,MO,STL,48.8,CPS,9.5,BLV,40.7,271.02
Ocean View Hotel,Phoenix,AZ,PHX,35.7,AZA,17.7,SDL,30.4,103.31
Central Park Inn,San Francisco,CA,SFO,28.7,OAK,5.9,SJC,28.4,195.56
Coastal Breeze Hotel,Atlanta,GA,ATL,44.1,PBI,46.4,BHM,18.3,298.99
Bay Area Hotel,Los Angeles,CA,LAX,27.2,BUR,18.6,LGB,22.4,266.09
Maple Leaf Lodge,Atlanta,GA,ATL,19.8,PBI,46.5,BHM,10.8,282.62
Sapphire Hotel,Seattle,WA,SEA,7.8,PAE,47.2,BFI,27.7,179.14
Maple Leaf Lodge,Seattle,WA,SEA,47.9,PAE,18.7,BFI,2.1,122.15
Coastal Breeze Hotel,Los Angeles,CA,LAX,36.2,BUR,14.7,LGB,21.8,208.44
Lakeside Inn,Seattle,WA,SEA,38.6,PAE,18.0,BFI,20.8,102.03
Maple Leaf Lodge,Los Angeles,CA,LAX,30.6,BUR,7.6,LGB,6.4,194.74
Pine Tree Inn,St. Louis,MO,STL,30.4,CPS,33.5,BLV,35.0,282.76
Emerald Isle Hotel,Washington,DC,DCA,27.8,IAD,7.5,BWI,41.0,126.47
Central Park Inn,Washington,DC,DCA,17.1,IAD,27.2,BWI,48.6,130.13
Coastal Breeze Hotel,Los Angeles,CA,LAX,24.4,BUR,17.4,LGB,44.4,294.26
Coastal Breeze Hotel,Chicago,IL,ORD,38.0,MDW,39.3,RFD,11.4,298.44
Sunset Inn,San Francisco,CA,SFO,16.8,OAK,28.6,SJC,24.9,215.45
Garden Court Hotel,Phoenix,AZ,PHX,18.9,AZA,9.5,SDL,1.6,201.32
Bay Area Hotel,Washington,DC,DCA,27.1,IAD,40.2,BWI,41.4,166.94
Bay Area Hotel,Chicago,IL,ORD,23.9,MDW,38.0,RFD,9.2,101.41
Ocean View Hotel,Seattle,WA,SEA,14.8,PAE,31.8,BFI,33.0,261.1
Maple Leaf Lodge,Washington,DC,DCA,48.1,IAD,2.7,BWI,12.6,139.81
Riverfront Hotel,San Francisco,CA,SFO,32.5,OAK,19.1,SJC,4.5,166.57
Central Park Inn,Miami,FL,MIA,36.0,FLL,43.5,PBI,13.7,165.75
Garden Court Hotel,Phoenix,AZ,PHX,32.3,AZA,22.9,SDL,43.2,172.44
Urban Retreat,St. Louis,MO,STL,40.6,CPS,43.1,BLV,18.8,245.62
Bay Area Hotel,San Francisco,CA,SFO,25.9,OAK,38.5,SJC,34.9,260.53
Sunset Inn,Chicago,IL,ORD,46.5,MDW,31.4,RFD,17.9,238.96
Pine Tree Inn,New York,NY,JFK,46.1,LGA,42.3,EWR,42.5,155.46
Crystal Waters Hotel,Washington,DC,DCA,9.3,IAD,42.2,BWI,36.9,259.82
Metro Inn,Seattle,WA,SEA,21.7,PAE,15.3,BFI,11.0,224.26
Metro Inn,New York,NY,JFK,8.0,LGA,12.2,EWR,14.3,258.63
Skyline Suites,San Francisco,CA,SFO,41.6,OAK,5.5,SJC,13.0,109.93
Crystal Waters Hotel,Miami,FL,MIA,4.9,FLL,39.2,PBI,43.9,262.56
Harbor View Hotel,New York,NY,JFK,13.0,LGA,12.5,EWR,5.4,247.58
City Center Lodge,Seattle,WA,SEA,17.3,PAE,27.2,BFI,46.0,219.28
Metro Inn,St. Louis,MO,STL,44.9,CPS,44.9,BLV,36.6,228.42
Maple Leaf Lodge,Chicago,IL,ORD,41.8,MDW,0.6,RFD,0.7,170.59
Golden Gate Hotel,Miami,FL,MIA,35.5,FLL,4.0,PBI,32.1,149.29
Skyline Suites,Washington,DC,DCA,31.1,IAD,16.3,BWI,23.1,276.66
Bay Area Hotel,Miami,FL,MIA,26.5,FLL,12.5,PBI,24.4,158.84
Broadway Hotel,St. Louis,MO,STL,41.1,CPS,1.0,BLV,14.3,214.4
Maple Leaf Lodge,Washington,DC,DCA,32.4,IAD,26.7,BWI,15.8,107.15
Riverfront Hotel,New York,NY,JFK,23.0,LGA,35.0,EWR,28.1,120.91
Maple Leaf Lodge,Los Angeles,CA,LAX,2.1,BUR,37.1,LGB,15.1,127.86
Riverfront Hotel,Chicago,IL,ORD,29.4,MDW,49.1,RFD,4.8,293.17
City Center Lodge,Phoenix,AZ,PHX,26.2,AZA,46.8,SDL,15.2,172.01
Mountain Peak Lodge,Seattle,WA,SEA,48.5,PAE,6.3,BFI,4.1,145.4
Golden Gate Hotel,St. Louis,MO,STL,22.6,CPS,2.6,BLV,18.3,169.02
Golden Gate Hotel,St. Louis,MO,STL,49.6,CPS,30.0,BLV,1.6,267.84
Sapphire Hotel,San Francisco,CA,SFO,26.7,OAK,45.9,SJC,17.6,204.83
Maple Leaf Lodge,Seattle,WA,SEA,36.0,PAE,44.5,BFI,4.4,218.87
Mountain Peak Lodge,Washington,DC,DCA,47.5,IAD,30.8,BWI,30.4,151.42
Mountain Peak Lodge,Phoenix,AZ,PHX,4.2,AZA,3.9,SDL,8.4,114.52
Sapphire Hotel,Washington,DC,DCA,37.1,IAD,34.6,BWI,47.6,213.53
Capitol Stay,San Francisco,CA,SFO,5.4,OAK,7.5,SJC,49.5,178.22
Golden Gate Hotel,St. Louis,MO,STL,21.7,CPS,16.8,BLV,36.8,152.17
Crystal Waters Hotel,San Francisco,CA,SFO,20.6,OAK,45.9,SJC,20.1,116.42
Sunset Inn,Washington,DC,DCA,20.6,IAD,18.2,BWI,3.2,183.48
Maple Leaf Lodge,Los Angeles,CA,LAX,25.0,BUR,14.5,LGB,49.0,282.24
Sunset Inn,Miami,FL,MIA,48.6,FLL,2.8,PBI,40.5,257.13
Maple Leaf Lodge,Atlanta,GA,ATL,21.5,PBI,39.4,BHM,30.3,298.11
Mountain Peak Lodge,Washington,DC,DCA,48.8,IAD,11.5,BWI,14.2,217.97
City Center Lodge,Miami,FL,MIA,6.4,FLL,8.1,PBI,49.2,177.1
Metro Inn,St. Louis,MO,STL,31.3,CPS,46.1,BLV,14.9,297.44
Garden Court Hotel,Atlanta,GA,ATL,28.2,PBI,4.8,BHM,8.0,264.12
Maple Leaf Lodge,Phoenix,AZ,PHX,13.4,AZA,32.6,SDL,25.7,287.25
Urban Retreat,Chicago,IL,ORD,34.9,MDW,46.8,RFD,43.9,263.28
Palm Grove Hotel,Washington,DC,DCA,2.8,IAD,13.5,BWI,46.8,252.09
Crystal Waters Hotel,Phoenix,AZ,PHX,45.9,AZA,11.6,SDL,43.4,278.67
Desert Resort,San Francisco,CA,SFO,18.8,OAK,47.6,SJC,32.6,101.17
Sapphire Hotel,New York,NY,JFK,37.4,LGA,38.4,EWR,19.0,127.85
Desert Resort,Washington,DC,DCA,24.9,IAD,8.0,BWI,30.1,110.86
Mountain Peak Lodge,San Francisco,CA,SFO,22.2,OAK,38.8,SJC,6.0,240.75
Sapphire Hotel,Phoenix,AZ,PHX,49.6,AZA,13.7,SDL,34.4,262.31
Pine Tree Inn,Los Angeles,CA,LAX,24.3,BUR,6.1,LGB,31.9,123.23
Coastal Breeze Hotel,San Francisco,CA,SFO,45.5,OAK,40.6,SJC,43.2,186.01
Urban Retreat,Washington,DC,DCA,19.0,IAD,16.1,BWI,21.8,196.29
Lakeside Inn,Chicago,IL,ORD,20.9,MDW,26.7,RFD,38.2,146.77
Sapphire Hotel,Los Angeles,CA,LAX,15.8,BUR,29.4,LGB,28.3,273.81
Mountain Peak Lodge,Atlanta,GA,ATL,12.8,PBI,0.6,BHM,9.6,141.14
Coastal Breeze Hotel,St. Louis,MO,STL,28.9,CPS,21.9,BLV,14.2,142.71
Ocean View Hotel,Washington,DC,DCA,14.4,IAD,14.6,BWI,12.5,287.25
Harbor View Hotel,Los Angeles,CA,LAX,25.2,BUR,30.9,LGB,9.5,271.74
Urban Retreat,Phoenix,AZ,PHX,44.2,AZA,18.7,SDL,15.0,268.79
Riverfront Hotel,New York,NY,JFK,38.6,LGA,8.4,EWR,13.2,200.5
Ocean View Hotel,San Francisco,CA,SFO,16.2,OAK,2.7,SJC,24.9,142.59
Central Park Inn,Miami,FL,MIA,42.7,FLL,22.1,PBI,38.2,277.25
Central Park Inn,San Francisco,CA,SFO,1.7,OAK,14.1,SJC,49.9,296.01
Lakeside Inn,St. Louis,MO,STL,22.3,CPS,40.8,BLV,36.7,199.25
Urban Retreat,New York,NY,JFK,31.9,LGA,32.6,EWR,17.1,293.0
Metro Inn,Phoenix,AZ,PHX,32.8,AZA,3.4,SDL,33.2,294.0
Bay Area Hotel,Seattle,WA,SEA,40.5,PAE,6.5,BFI,38.5,135.58
Mountain Peak Lodge,Los Angeles,CA,LAX,4.6,BUR,40.0,LGB,34.2,143.51
Maple Leaf Lodge,New York,NY,JFK,17.6,LGA,34.5,EWR,46.1,163.42
Skyline Suites,Seattle,WA,SEA,45.9,PAE,33.3,BFI,6.4,145.18
Sapphire Hotel,St. Louis,MO,STL,28.4,CPS,18.9,BLV,20.0,225.46
Harbor View Hotel,San Francisco,CA,SFO,4.1,OAK,48.2,SJC,48.5,271.45
Crystal Waters Hotel,Washington,DC,DCA,5.1,IAD,8.6,BWI,38.0,286.25
Harbor View Hotel,Washington,DC,DCA,8.2,IAD,41.9,BWI,3.8,123.57
Palm Grove Hotel,New York,NY,JFK,23.6,LGA,12.0,EWR,41.0,223.41
Metro Inn,Seattle,WA,SEA,43.7,PAE,16.3,BFI,27.7,130.19
Lakeside Inn,Washington,DC,DCA,41.3,IAD,37.4,BWI,33.1,175.12
Grand Plaza,Los Angeles,CA,LAX,5.3,BUR,11.1,LGB,7.1,196.66
Lakeside Inn,Seattle,WA,SEA,24.0,PAE,7.1,BFI,8.0,278.91
Lakeside Inn,St. Louis,MO,STL,19.3,CPS,45.1,BLV,19.2,205.59
Lakeside Inn,New York,NY,JFK,28.5,LGA,27.2,EWR,42.3,118.67
Lakeside Inn,New York,NY,JFK,21.4,LGA,34.8,EWR,26.2,229.98
Coastal Breeze Hotel,Chicago,IL,ORD,32.3,MDW,46.1,RFD,8.9,112.29
Broadway Hotel,Miami,FL,MIA,21.0,FLL,24.1,PBI,35.3,263.5
Skyline Suites,Miami,FL,MIA,7.4,FLL,6.6,PBI,13.2,123.13
Sunset Inn,San Francisco,CA,SFO,20.0,OAK,43.5,SJC,44.0,208.9
Lakeside Inn,St. Louis,MO,STL,35.8,CPS,47.0,BLV,42.4,105.12
Lakeside Inn,Seattle,WA,SEA,9.1,PAE,18.9,BFI,29.9,174.21
Grand Plaza,Atlanta,GA,ATL,38.2,PBI,47.8,BHM,44.9,241.11
Ocean View Hotel,Chicago,IL,ORD,18.0,MDW,25.3,RFD,43.6,104.36
Metro Inn,New York,NY,JFK,14.0,LGA,28.0,EWR,43.4,140.95
Bay Area Hotel,Seattle,WA,SEA,49.6,PAE,25.4,BFI,3.8,118.13
Harbor View Hotel,Chicago,IL,ORD,6.2,MDW,9.8,RFD,13.3,263.08
Riverfront Hotel,St. Louis,MO,STL,21.3,CPS,13.4,BLV,45.9,188.51
Riverfront Hotel,San Francisco,CA,SFO,6.0,OAK,25.7,SJC,34.6,248.63
Capitol Stay,Atlanta,GA,ATL,19.5,PBI,10.6,BHM,27.6,170.12
Maple Leaf Lodge,Los Angeles,CA,LAX,21.3,BUR,44.9,LGB,49.3,101.92
Pine Tree Inn,Miami,FL,MIA,3.4,FLL,26.5,PBI,15.9,168.32
Broadway Hotel,Chicago,IL,ORD,38.1,MDW,42.7,RFD,45.3,137.6
Metro Inn,St. Louis,MO,STL,39.7,CPS,3.5,BLV,22.2,205.79
Golden Gate Hotel,St. Louis,MO,STL,13.0,CPS,46.9,BLV,3.8,213.98
Harbor View Hotel,Phoenix,AZ,PHX,40.1,AZA,25.8,SDL,32.2,282.99
Maple Leaf Lodge,Atlanta,GA,ATL,38.2,PBI,34.8,BHM,46.1,109.58
Crystal Waters Hotel,Seattle,WA,SEA,17.3,PAE,30.4,BFI,13.2,290.11
Metro Inn,St. Louis,MO,STL,12.9,CPS,39.8,BLV,12.1,235.63
Skyline Suites,Los Angeles,CA,LAX,40.3,BUR,0.6,LGB,13.9,299.04
Lakeside Inn,Miami,FL,MIA,34.2,FLL,15.9,PBI,21.3,214.82
Sapphire Hotel,Washington,DC,DCA,23.7,IAD,30.6,BWI,48.3,261.58
Bay Area Hotel,New York,NY,JFK,27.0,LGA,41.8,EWR,29.1,105.42
Emerald Isle Hotel,Miami,FL,MIA,33.3,FLL,30.6,PBI,24.6,157.07
City Center Lodge,Chicago,IL,ORD,9.4,MDW,14.5,RFD,5.6,169.72
Garden Court Hotel,Chicago,IL,ORD,41.3,MDW,25.4,RFD,20.3,104.07
Riverfront Hotel,Chicago,IL,ORD,41.6,MDW,13.1,RFD,19.7,212.58
Maple Leaf Lodge,New York,NY,JFK,7.0,LGA,7.8,EWR,10.7,213.22
Central Park Inn,Atlanta,GA,ATL,6.3,PBI,11.5,BHM,19.6,291.58
Bay Area Hotel,Washington,DC,DCA,20.5,IAD,14.2,BWI,15.7,260.74
Central Park Inn,Phoenix,AZ,PHX,11.5,AZA,38.0,SDL,14.2,154.86
Lakeside Inn,Los Angeles,CA,LAX,17.9,BUR,27.6,LGB,32.5,204.13
Bay Area Hotel,San Francisco,CA,SFO,37.0,OAK,5.2,SJC,9.4,101.24
Sunset Inn,Miami,FL,MIA,45.0,FLL,39.6,PBI,13.7,186.55
Capitol Stay,New York,NY,JFK,30.6,LGA,12.3,EWR,1.7,135.12
Sunset Inn,Miami,FL,MIA,9.6,FLL,16.3,PBI,39.7,219.83
Urban Retreat,New York,NY,JFK,4.2,LGA,32.4,EWR,45.4,153.8
Sapphire Hotel,Phoenix,AZ,PHX,7.3,AZA,15.3,SDL,33.1,260.91
Pine Tree Inn,Miami,FL,MIA,12.7,FLL,22.9,PBI,10.6,191.46
Skyline Suites,Seattle,WA,SEA,49.9,PAE,31.1,BFI,10.1,213.63
Bay Area Hotel,Miami,FL,MIA,16.5,FLL,12.9,PBI,13.9,183.58
Urban Retreat,San Francisco,CA,SFO,27.8,OAK,37.8,SJC,30.9,145.05
Lakeside Inn,Seattle,WA,SEA,8.4,PAE,6.0,BFI,6.8,229.93
Palm Grove Hotel,Seattle,WA,SEA,29.9,PAE,41.7,BFI,48.2,196.15
Crystal Waters Hotel,New York,NY,JFK,43.0,LGA,13.4,EWR,21.4,231.55
Lakeside Inn,San Francisco,CA,SFO,18.9,OAK,1.5,SJC,34.1,201.72
Desert Resort,Phoenix,AZ,PHX,31.6,AZA,5.4,SDL,17.1,145.29
City Center Lodge,Phoenix,AZ,PHX,24.4,AZA,8.9,SDL,20.8,262.36
Palm Grove Hotel,San Francisco,CA,SFO,5.3,OAK,12.5,SJC,38.8,296.58
Coastal Breeze Hotel,Los Angeles,CA,LAX,33.9,BUR,5.2,LGB,14.5,209.27
Palm Grove Hotel,Washington,DC,DCA,37.0,IAD,36.1,BWI,32.2,176.05
Mountain Peak Lodge,Los Angeles,CA,LAX,30.8,BUR,14.2,LGB,29.8,197.35
City Center Lodge,St. Louis,MO,STL,14.8,CPS,39.8,BLV,9.8,235.62
