Hotel Name,City,State,Nearest Airport 1,Distance to Airport 1 (miles),Nearest Airport 2,Distance to Airport 2 (miles),Nearest Airport 3,Distance to Airport 3 (miles),Average Price per Night (USD),Cab Service Name,Hospital Name,Nearest Airport 1,Distance to Airport 1 (miles),Nearest Airport 2,Distance to Airport 2 (miles),Nearest Airport 3,Distance to Airport 3 (miles)
Bay Area Hotel,Washington,DC,DCA,19.9,IAD,25.2,BWI,22.4,137.22,BlueLine Taxi,Pine Valley Hospital,DCA,32.2,IAD,42.3,BWI,47.6
Ocean View Hotel,Washington,DC,DCA,21.2,IAD,48.7,BWI,48.6,295.01,Golden Cab,Central Clinic,DCA,17.9,IAD,35.5,BWI,10.5
Garden Court Hotel,Washington,DC,DCA,36.9,IAD,26.2,BWI,9,259.43,Premier Rides,Sunrise Hospital,DCA,24.4,IAD,36,BWI,35.1
Sapphire Hotel,Washington,DC,DCA,43.2,IAD,34.9,BWI,30.7,204.16,Green Cab,Urban Health Clinic,DCA,22.6,IAD,20.7,BWI,40.1
Mountain Peak Lodge,Washington,DC,DCA,47.5,IAD,30.8,BWI,30.4,151.42,Express Cab,City Medical Center,DCA,13.7,IAD,20,BWI,24.4
Sunset Inn,Washington,DC,DCA,20.4,IAD,9.7,BWI,37.3,296.33,Royal Cab,Lakeside Medical Center,DCA,46.6,IAD,44.9,BWI,21.1
Sapphire Hotel,Washington,DC,DCA,29.5,IAD,12.6,BWI,49.5,155.04,Alpha Cab,Mountain View Hospital,DCA,49.3,IAD,45.5,BWI,5.2
Crystal Waters Hotel,Washington,DC,DCA,2.1,IAD,3.2,BWI,30,164.91,Premier Rides,Pine Valley Hospital,DCA,11.1,IAD,47.8,BWI,19.1
Sunset Inn,Washington,DC,DCA,26,IAD,33.1,BWI,37.6,196.14,Eagle Taxi,Regional Medical Center,DCA,33.2,IAD,28.2,BWI,4.9
Metro Inn,Washington,DC,DCA,19.8,IAD,41.3,BWI,45.9,227.76,Quick Ride,Memorial Hospital,DCA,18.7,IAD,49.3,BWI,24.7
Mountain Peak Lodge,Washington,DC,DCA,43.6,IAD,17.8,BWI,38.7,123.8,Golden Cab,Eastside Medical Center,DCA,10.2,IAD,18.2,BWI,24.9
Garden Court Hotel,Washington,DC,DCA,39.1,IAD,49,BWI,7.7,159.27,Speedy Taxi,Northeast Medical Center,DCA,39.4,IAD,28.4,BWI,4.3
Riverfront Hotel,Washington,DC,DCA,38.5,IAD,31.1,BWI,4.2,161.2,City Cab,Northside Hospital,DCA,47.8,IAD,27.7,BWI,34.9
Urban Retreat,Washington,DC,DCA,47.6,IAD,5.1,BWI,33,294.51,Eagle Taxi,Southern Health Clinic,DCA,36.8,IAD,3.4,BWI,15.6
Coastal Breeze Hotel,Washington,DC,DCA,24.1,IAD,39.6,BWI,38.2,223.83,Town Car Service,Riverfront Medical Center,DCA,30,IAD,23,BWI,22
Central Park Inn,Washington,DC,DCA,31.8,IAD,6,BWI,23.8,225.78,Comfort Ride,City Medical Center,DCA,37.8,IAD,41,BWI,21.4
Sunset Inn,Washington,DC,DCA,18.1,IAD,15.6,BWI,15.8,137.48,Eagle Taxi,Coastal Health Center,DCA,25.9,IAD,6.8,BWI,30.7
Pine Tree Inn,Washington,DC,DCA,33.6,IAD,22.6,BWI,29.9,103.16,Golden Cab,Northeast Medical Center,DCA,21.3,IAD,4.1,BWI,21.7
Mountain Peak Lodge,Washington,DC,DCA,45.2,IAD,1,BWI,48,191.5,Star Taxi,City Medical Center,DCA,48.8,IAD,11.7,BWI,19.6
Broadway Hotel,Washington,DC,DCA,5.2,IAD,40.1,BWI,41,254.95,Liberty Taxi,Valley Health Center,DCA,33.3,IAD,29,BWI,6.8
Sunset Inn,Washington,DC,DCA,19.6,IAD,12.3,BWI,1.5,115.86,Eagle Taxi,General Hospital,DCA,32.8,IAD,25.1,BWI,14.5
Capitol Stay,Washington,DC,DCA,4.2,IAD,38,BWI,48.9,119.68,Best Taxi,Pine Valley Hospital,DCA,28.6,IAD,18.7,BWI,48.7
Metro Inn,Washington,DC,DCA,31.9,IAD,14.7,BWI,8.4,229.83,Golden Cab,City Medical Center,DCA,36.9,IAD,16.6,BWI,9.7
Emerald Isle Hotel,Washington,DC,DCA,5.2,IAD,49.7,BWI,11.7,167.25,Liberty Taxi,Northeast Medical Center,DCA,8.8,IAD,31.2,BWI,48.5
Pine Tree Inn,Washington,DC,DCA,39.5,IAD,6.1,BWI,28.6,209.44,Sunshine Taxi,Southern Health Clinic,DCA,41.5,IAD,0.7,BWI,44.1
Maple Leaf Lodge,Washington,DC,DCA,21.7,IAD,48.1,BWI,0.6,105.29,Sunshine Taxi,Coastal Health Center,DCA,47,IAD,12.7,BWI,12.7
Maple Leaf Lodge,Washington,DC,DCA,40.9,IAD,22.1,BWI,9.8,128.47,Premier Rides,Main Street Medical Center,DCA,22.9,IAD,40.5,BWI,43.2
Palm Grove Hotel,Washington,DC,DCA,32.8,IAD,11.3,BWI,19.2,249.56,City Cab,Memorial Hospital,DCA,36.9,IAD,1,BWI,7.9
Pine Tree Inn,Washington,DC,DCA,30.7,IAD,28.4,BWI,43.5,246.21,Eagle Taxi,General Hospital,DCA,36.6,IAD,32,BWI,49.5
Palm Grove Hotel,Washington,DC,DCA,32.7,IAD,13.8,BWI,31.2,199.83,Yellow Cab,Coastal Health Center,SFO,31,OAK,32.3,SJC,2.6
Desert Resort,Washington,DC,DCA,25.2,IAD,33.2,BWI,8.4,228.21,Town Car Service,Sunrise Hospital,SFO,29.7,OAK,45.1,SJC,26.3
Bay Area Hotel,Washington,DC,DCA,11.5,IAD,38.3,BWI,46.7,252.6,BlueLine Taxi,West End Hospital,LAX,24,BUR,22.6,LGB,16.6
Riverfront Hotel,Washington,DC,DCA,50,IAD,3,BWI,20.9,275.09,Yellow Cab,Lakeside Medical Center,SFO,49.6,OAK,15.5,SJC,5.6
Riverfront Hotel,Washington,DC,DCA,13.2,IAD,1,BWI,5.1,155.03,Speedy Taxi,Regional Medical Center,SFO,25.7,OAK,24.9,SJC,23.8
Metro Inn,Washington,DC,DCA,11.9,IAD,41.7,BWI,20.8,154.02,Star Taxi,Sunrise Hospital,SFO,11.7,OAK,41.5,SJC,24.6
Garden Court Hotel,Washington,DC,DCA,16.5,IAD,22.4,BWI,18.4,275.92,Express Cab,Community Hospital,SFO,17.1,OAK,4.5,SJC,3.2
Bay Area Hotel,San Francisco,CA,SFO,25.9,OAK,38.5,SJC,34.9,260.53,Town Car Service,Urban Health Clinic,LAX,30.7,BUR,23.7,LGB,10.2
Maple Leaf Lodge,Los Angeles,CA,LAX,30.6,BUR,7.6,LGB,6.4,194.74,Golden Cab,Northeast Medical Center,LAX,14.3,BUR,31.6,LGB,30.5
Sapphire Hotel,San Francisco,CA,SFO,33.6,OAK,11.1,SJC,24.1,118.09,City Cab,Community Hospital,LAX,40.8,BUR,0.5,LGB,21.7
Desert Resort,San Francisco,CA,SFO,36.8,OAK,35.4,SJC,36.3,251.53,Premier Rides,Coastal Health Center,SFO,46.3,OAK,41.6,SJC,8.1
Skyline Suites,San Francisco,CA,SFO,41.6,OAK,5.5,SJC,13,109.93,Urban Cabs,Riverfront Medical Center,SFO,40.4,OAK,8,SJC,5
Lakeside Inn,San Francisco,CA,SFO,7.7,OAK,22,SJC,12.1,143.62,Star Taxi,Northeast Medical Center,LAX,14.5,BUR,7.8,LGB,37.7
Emerald Isle Hotel,Los Angeles,CA,LAX,11.7,BUR,19.6,LGB,16,146.28,Quick Ride,Sunrise Hospital,LAX,7.3,BUR,49.8,LGB,0.8
Riverfront Hotel,San Francisco,CA,SFO,32.5,OAK,19.1,SJC,4.5,166.57,TopRide Taxi,Southern Health Clinic,LAX,21,BUR,14.6,LGB,1.6
Harbor View Hotel,San Francisco,CA,SFO,7.5,OAK,12.6,SJC,32.1,263.51,TopRide Taxi,Regional Medical Center,LAX,39.9,BUR,43.3,LGB,6.2
Grand Plaza,San Francisco,CA,SFO,43.7,OAK,39.8,SJC,25.1,152.16,Reliable Rides,Valley Health Center,LAX,48.2,BUR,12.9,LGB,3.5
Broadway Hotel,San Francisco,CA,SFO,23.8,OAK,23.8,SJC,9.7,272.13,Town Car Service,West End Hospital,LAX,0.7,BUR,42.4,LGB,8.7
Urban Retreat,Los Angeles,CA,LAX,1.7,BUR,24.3,LGB,28,171.11,Royal Cab,West End Hospital,LAX,35.2,BUR,39.6,LGB,1.2
Riverfront Hotel,San Francisco,CA,SFO,27.2,OAK,32.6,SJC,22.3,166.62,Eagle Taxi,Pine Valley Hospital,SFO,47.5,OAK,5.1,SJC,39.8
Lakeside Inn,San Francisco,CA,SFO,13.5,OAK,14.4,SJC,5.2,225.26,Quick Ride,City Medical Center,SFO,38.1,OAK,28,SJC,2.2
Central Park Inn,San Francisco,CA,SFO,28.7,OAK,5.9,SJC,28.4,195.56,Quick Ride,West End Hospital,LAX,30.6,BUR,21.2,LGB,1
Coastal Breeze Hotel,Los Angeles,CA,LAX,24.4,BUR,17.4,LGB,44.4,294.26,Yellow Cab,Coastal Health Center,SFO,45.1,OAK,14.9,SJC,3.9
Bay Area Hotel,Los Angeles,CA,LAX,27.2,BUR,18.6,LGB,22.4,266.09,Star Taxi,Pine Valley Hospital,SFO,27.9,OAK,35.4,SJC,39.4
Coastal Breeze Hotel,Los Angeles,CA,LAX,36.2,BUR,14.7,LGB,21.8,208.44,Royal Cab,Downtown Medical Center,SFO,9.4,OAK,49.9,SJC,43.6
Crystal Waters Hotel,Los Angeles,CA,LAX,17,BUR,7.7,LGB,29.3,149.25,Town Car Service,Regional Medical Center,SFO,4.7,OAK,20,SJC,39
Lakeside Inn,San Francisco,CA,SFO,22.3,OAK,18.3,SJC,49.7,282.41,Eagle Taxi,Harbor Hospital,SFO,30,OAK,6.9,SJC,40.7
Lakeside Inn,San Francisco,CA,SFO,25.7,OAK,47.4,SJC,38.4,109.73,Reliable Rides,Green Valley Hospital,SFO,26.6,OAK,22,SJC,34.9
Riverfront Hotel,Los Angeles,CA,LAX,24.1,BUR,44,LGB,8.6,298.76,Premier Rides,Downtown Medical Center,SFO,23.7,OAK,8.7,SJC,47.8
Grand Plaza,San Francisco,CA,SFO,48.5,OAK,2.3,SJC,14.5,133.66,Golden Cab,Regional Medical Center,LAX,9.3,BUR,47.2,LGB,38.9
Emerald Isle Hotel,San Francisco,CA,SFO,18,OAK,4.3,SJC,45.2,147.2,Town Car Service,Mountain View Hospital,LAX,15.8,BUR,45.9,LGB,26.3
Skyline Suites,Los Angeles,CA,LAX,49.6,BUR,1,LGB,40.2,100.5,City Cab,Northside Hospital,LAX,48.1,BUR,11.1,LGB,7.9
Metro Inn,Los Angeles,CA,LAX,40.9,BUR,37.2,LGB,27.2,203.24,Golden Cab,Northeast Medical Center,SFO,12.1,OAK,11.6,SJC,3.5
Crystal Waters Hotel,San Francisco,CA,SFO,39.2,OAK,48.3,SJC,13.3,200.58,Premier Rides,Riverfront Medical Center,SFO,5.9,OAK,25.6,SJC,9.8
Palm Grove Hotel,San Francisco,CA,SFO,20.2,OAK,31.8,SJC,41.7,299.33,Yellow Cab,General Hospital,SFO,32.9,OAK,45.4,SJC,14.3
Sapphire Hotel,San Francisco,CA,SFO,26.6,OAK,6.2,SJC,27.4,291.12,Eagle Taxi,Community Hospital,SFO,6.3,OAK,34.4,SJC,42
Ocean View Hotel,San Francisco,CA,SFO,41.8,OAK,24,SJC,1.8,170.41,Express Cab,Harbor Hospital,SFO,44.5,OAK,11.5,SJC,9.2
Harbor View Hotel,San Francisco,CA,SFO,22,OAK,27.6,SJC,30,209.94,Star Taxi,Eastside Medical Center,LAX,22,BUR,11.1,LGB,21.2
Ocean View Hotel,San Francisco,CA,SFO,37.5,OAK,9.8,SJC,27.4,142.16,Rapid Cab,Pine Valley Hospital,SFO,17,OAK,44.5,SJC,3.9
Urban Retreat,Los Angeles,CA,LAX,45,BUR,24.3,LGB,46.1,220.82,Quick Ride,Urban Health Clinic,LAX,42.2,BUR,4.1,LGB,5.3
Maple Leaf Lodge,San Francisco,CA,SFO,24.8,OAK,42.6,SJC,28.3,112.61,Green Cab,City Health Clinic,SFO,41.1,OAK,14.7,SJC,29.6
Grand Plaza,San Francisco,CA,SFO,18.2,OAK,34.6,SJC,33.2,120.63,TopRide Taxi,Northside Hospital,LAX,10.1,BUR,21.5,LGB,4.1
Urban Retreat,San Francisco,CA,SFO,43.8,OAK,16.9,SJC,32.5,112.21,Sunshine Taxi,Sunrise Hospital,SFO,49.3,OAK,24.7,SJC,43.6
Golden Gate Hotel,Los Angeles,CA,LAX,46,BUR,7.3,LGB,10.6,218.88,TopRide Taxi,Riverfront Medical Center,LAX,0.9,BUR,2.5,LGB,27.7
Pine Tree Inn,Los Angeles,CA,LAX,20.5,BUR,6.9,LGB,46.3,257.31,Speedy Taxi,Coastal Health Center,SFO,11.6,OAK,39.7,SJC,47.7
Ocean View Hotel,San Francisco,CA,SFO,32.4,OAK,9.4,SJC,22.9,297.48,Green Cab,Community Hospital,SFO,29.5,OAK,11.2,SJC,49.3
Urban Retreat,Los Angeles,CA,LAX,40.7,BUR,45.5,LGB,26.6,229.31,TopRide Taxi,Central Clinic,LAX,6.7,BUR,18.8,LGB,0.7
Mountain Peak Lodge,San Francisco,CA,SFO,5.6,OAK,14.4,SJC,48.1,168.25,First Choice Taxi,Northeast Medical Center,LAX,46.6,BUR,28.2,LGB,2.7
Sunset Inn,San Francisco,CA,SFO,3.5,OAK,13.7,SJC,23.3,113.21,Golden Cab,Northside Hospital,LAX,40.2,BUR,39,LGB,46.8
Sunset Inn,Los Angeles,CA,LAX,45.7,BUR,1.6,LGB,18.6,242.96,Best Taxi,Southern Health Clinic,SFO,27.1,OAK,34.7,SJC,4.1
Maple Leaf Lodge,Los Angeles,CA,LAX,15.5,BUR,6.4,LGB,19.2,166.57,TopRide Taxi,Main Street Medical Center,SFO,36.7,OAK,10.1,SJC,48.8
Capitol Stay,San Francisco,CA,SFO,11.1,OAK,45.9,SJC,35,129.29,Eagle Taxi,St. Mary's Hospital,LAX,39.6,BUR,40.3,LGB,49.9
Desert Resort,Los Angeles,CA,LAX,43.2,BUR,46.2,LGB,43.7,103.79,Town Car Service,Community Hospital,SFO,3.2,OAK,39,SJC,12.2
Lakeside Inn,San Francisco,CA,SFO,10.2,OAK,30.3,SJC,41.9,108.57,Quick Ride,Northeast Medical Center,SFO,32,OAK,24.1,SJC,17.9
Coastal Breeze Hotel,Los Angeles,CA,LAX,24.5,BUR,35.9,LGB,6.3,118.63,Comfort Ride,Riverfront Medical Center,LAX,12.4,BUR,2.4,LGB,17.5
Broadway Hotel,San Francisco,CA,SFO,27.3,OAK,43.4,SJC,41.7,158.43,Reliable Rides,Central Clinic,LAX,2.2,BUR,48.9,LGB,18.1
Lakeside Inn,San Francisco,CA,SFO,29.7,OAK,2.5,SJC,23.4,117.66,Urban Cabs,Valley Health Center,LAX,25.4,BUR,33.4,LGB,28.1
Riverfront Hotel,San Francisco,CA,SFO,41,OAK,2.1,SJC,28.6,264.17,TopRide Taxi,Main Street Medical Center,LAX,2.3,BUR,3.4,LGB,43.7
Maple Leaf Lodge,Los Angeles,CA,LAX,1.2,BUR,23.9,LGB,24.1,274.82,Elite Taxi,Urban Health Clinic,SFO,3.7,OAK,21.5,SJC,33.8
Sunset Inn,Los Angeles,CA,LAX,19.5,BUR,39.5,LGB,27.8,164.07,Elite Taxi,Downtown Medical Center,SFO,47.7,OAK,6.6,SJC,13.2
Broadway Hotel,Los Angeles,CA,LAX,36.9,BUR,37.4,LGB,5.1,195.35,First Choice Taxi,Urban Health Clinic,LAX,39.7,BUR,9.1,LGB,4.2
Capitol Stay,San Francisco,CA,SFO,11.2,OAK,29.5,SJC,49.1,203.56,Yellow Cab,Mountain View Hospital,LAX,36.2,BUR,44.1,LGB,4.6
Harbor View Hotel,Los Angeles,CA,LAX,37.3,BUR,47,LGB,40.4,192.42,Urban Cabs,Green Valley Hospital,SFO,21.6,OAK,11.6,SJC,24.5
Golden Gate Hotel,Los Angeles,CA,LAX,45.9,BUR,18.2,LGB,0.9,271.37,City Cab,Main Street Medical Center,LAX,28.3,BUR,22.4,LGB,42.7
Crystal Waters Hotel,Los Angeles,CA,LAX,37.8,BUR,43.2,LGB,4.8,247.91,Speedy Taxi,Northside Hospital,SFO,13.2,OAK,49.9,SJC,45.7
Garden Court Hotel,Los Angeles,CA,LAX,9.3,BUR,29.1,LGB,24.9,183.09,BlueLine Taxi,Riverfront Medical Center,LAX,1.1,BUR,44,LGB,48
Broadway Hotel,San Francisco,CA,SFO,35.1,OAK,1.7,SJC,49.1,239.65,Yellow Cab,Central Clinic,SFO,45.9,OAK,2,SJC,9.4
Maple Leaf Lodge,San Francisco,CA,SFO,8.1,OAK,33,SJC,21.2,178.31,Premier Rides,City Health Clinic,LAX,42,BUR,41,LGB,47.9
Desert Resort,San Francisco,CA,SFO,10.8,OAK,44.3,SJC,7.5,192.35,BlueLine Taxi,Coastal Health Center,SFO,4.4,OAK,33,SJC,2.4
Skyline Suites,Los Angeles,CA,LAX,9.7,BUR,3,LGB,10.5,156.78,Sunshine Taxi,Sunrise Hospital,LAX,19.2,BUR,41.3,LGB,8.1
Mountain Peak Lodge,Los Angeles,CA,LAX,30.8,BUR,14.2,LGB,29.8,197.35,Metro Taxi,Coastal Health Center,SFO,31.2,OAK,38.5,SJC,40
Ocean View Hotel,Los Angeles,CA,LAX,43.3,BUR,12.5,LGB,31.3,229.4,Elite Taxi,General Hospital,LAX,29.8,BUR,6.8,LGB,35.5
Coastal Breeze Hotel,Los Angeles,CA,LAX,33.9,BUR,5.2,LGB,14.5,209.27,Rapid Cab,Pine Valley Hospital,LAX,1.2,BUR,31.1,LGB,39.2
Palm Grove Hotel,San Francisco,CA,SFO,5.3,OAK,12.5,SJC,38.8,296.58,Speedy Taxi,Riverfront Medical Center,SFO,49.6,OAK,2.4,SJC,37.9
Lakeside Inn,San Francisco,CA,SFO,18.9,OAK,1.5,SJC,34.1,201.72,City Cab,Central Clinic,LAX,46.1,BUR,49.9,LGB,18.5
Mountain Peak Lodge,San Francisco,CA,SFO,13.3,OAK,28.2,SJC,16.4,191.06,Star Taxi,Southern Health Clinic,LAX,3.2,BUR,1.5,LGB,31.6
Urban Retreat,San Francisco,CA,SFO,27.8,OAK,37.8,SJC,30.9,145.05,Town Car Service,City Medical Center,SFO,13.8,OAK,40.5,SJC,18.3
Golden Gate Hotel,San Francisco,CA,SFO,18.1,OAK,24,SJC,26.8,100.61,Golden Cab,Coastal Health Center,SFO,33.6,OAK,32.9,SJC,32.5
Bay Area Hotel,San Francisco,CA,SFO,37,OAK,5.2,SJC,9.4,101.24,Rapid Cab,West End Hospital,SFO,33.6,OAK,49.1,SJC,23.7
Lakeside Inn,Los Angeles,CA,LAX,17.9,BUR,27.6,LGB,32.5,204.13,Express Cab,West End Hospital,LAX,28.8,BUR,16.8,LGB,10.5
Desert Resort,San Francisco,CA,SFO,40.5,OAK,19.7,SJC,25.2,253.69,Elite Taxi,Harbor Hospital,LAX,22.3,BUR,39.5,LGB,1.3
Broadway Hotel,Los Angeles,CA,LAX,36.2,BUR,35.7,LGB,31.6,214.04,Town Car Service,Community Hospital,SFO,25.4,OAK,5.1,SJC,5
Riverfront Hotel,San Francisco,CA,SFO,4.4,OAK,38.3,SJC,23.5,202.47,Best Taxi,City Medical Center,SFO,19.9,OAK,36.2,SJC,10.2
Metro Inn,San Francisco,CA,SFO,21.4,OAK,15.6,SJC,42.3,123.53,Comfort Ride,Green Valley Hospital,SFO,15.4,OAK,15.5,SJC,28.5
Metro Inn,Los Angeles,CA,LAX,48.9,BUR,40.8,LGB,44.1,104.48,First Choice Taxi,Main Street Medical Center,LAX,14.5,BUR,18,LGB,24.4
Golden Gate Hotel,Los Angeles,CA,LAX,47.9,BUR,29.2,LGB,16.8,184.87,Express Cab,Harbor Hospital,SFO,8.2,OAK,40.3,SJC,23.5
Garden Court Hotel,San Francisco,CA,SFO,35.4,OAK,38.3,SJC,4.4,271.63,Best Taxi,Central Clinic,SFO,4.9,OAK,34.5,SJC,19.3
Coastal Breeze Hotel,San Francisco,CA,SFO,2,OAK,46.8,SJC,35,115.27,Reliable Rides,Regional Medical Center,LAX,4.8,BUR,38.9,LGB,23.1
Ocean View Hotel,San Francisco,CA,SFO,19.9,OAK,46.9,SJC,49.6,171.7,BlueLine Taxi,Northside Hospital,SFO,6.1,OAK,8,SJC,8.1
Bay Area Hotel,San Francisco,CA,SFO,15.8,OAK,36.5,SJC,13.2,163.68,Speedy Taxi,Riverfront Medical Center,LAX,21.2,BUR,35.6,LGB,10
Golden Gate Hotel,Los Angeles,CA,LAX,25.7,BUR,41.6,LGB,21.6,174.91,Liberty Taxi,Riverfront Medical Center,LAX,28.7,BUR,37.3,LGB,19
Harbor View Hotel,Los Angeles,CA,LAX,27.8,BUR,29.5,LGB,29.8,271.45,Metro Taxi,Regional Medical Center,LAX,25.9,BUR,30.7,LGB,36.9
Riverfront Hotel,San Francisco,CA,SFO,13.1,OAK,30.6,SJC,13.7,286.85,Green Cab,Urban Health Clinic,LAX,19.9,BUR,28.7,LGB,17.8
Riverfront Hotel,San Francisco,CA,SFO,27.3,OAK,48,SJC,9.6,175.98,Best Taxi,Northside Hospital,LAX,26.1,BUR,25.8,LGB,23.4
Bay Area Hotel,Los Angeles,CA,LAX,5.5,BUR,5.9,LGB,36,205.26,Comfort Ride,Eastside Medical Center,SFO,49.6,OAK,30.6,SJC,28.9
Crystal Waters Hotel,San Francisco,CA,SFO,37,OAK,22.3,SJC,32.2,264.22,Comfort Ride,Regional Medical Center,LAX,21,BUR,41.1,LGB,48.1
Crystal Waters Hotel,Los Angeles,CA,LAX,14.3,BUR,1.7,LGB,31.3,206.81,Liberty Taxi,St. Mary's Hospital,SFO,47.9,OAK,49.1,SJC,31.3
Capitol Stay,Los Angeles,CA,LAX,44.4,BUR,41.5,LGB,48.6,116.08,Alpha Cab,Memorial Hospital,SFO,20.2,OAK,1.2,SJC,49.8
Garden Court Hotel,Los Angeles,CA,LAX,44.1,BUR,30.1,LGB,26.9,225.53,Quick Ride,West End Hospital,LAX,3.4,BUR,37.2,LGB,44.2
Riverfront Hotel,Los Angeles,CA,LAX,2.6,BUR,28.6,LGB,38.6,171.13,Premier Rides,City Health Clinic,LAX,22.1,BUR,3.2,LGB,40.9
Golden Gate Hotel,San Francisco,CA,SFO,22.7,OAK,13.4,SJC,17.1,137.45,Liberty Taxi,Downtown Medical Center,LAX,15.6,BUR,40.9,LGB,3.3
Lakeside Inn,Los Angeles,CA,LAX,14.6,BUR,11,LGB,17.4,130.7,Metro Taxi,City Medical Center,SFO,37.5,OAK,9,SJC,13.7
Maple Leaf Lodge,Los Angeles,CA,LAX,2.1,BUR,37.1,LGB,15.1,127.86,TopRide Taxi,Pine Valley Hospital,LAX,30.7,BUR,35.5,LGB,33.7
Grand Plaza,San Francisco,CA,SFO,17.7,OAK,8.2,SJC,17.7,103.35,Golden Cab,Downtown Medical Center,SFO,14.7,OAK,15,SJC,10
Skyline Suites,Los Angeles,CA,LAX,40.3,BUR,0.6,LGB,13.9,299.04,City Cab,Central Clinic,LAX,33.6,BUR,34.1,LGB,5.7
Mountain Peak Lodge,San Francisco,CA,SFO,22.2,OAK,38.8,SJC,6,240.75,City Cab,Green Valley Hospital,SFO,48.3,OAK,19.3,SJC,10.7
Sapphire Hotel,San Francisco,CA,SFO,47.9,OAK,40.6,SJC,12.2,122.68,Sunshine Taxi,Green Valley Hospital,LAX,43.1,BUR,44.3,LGB,33
Desert Resort,San Francisco,CA,SFO,18.8,OAK,47.6,SJC,32.6,101.17,Liberty Taxi,Mountain View Hospital,LAX,32.6,BUR,49.3,LGB,44.4
Palm Grove Hotel,Los Angeles,CA,LAX,1,BUR,14.5,LGB,28.7,230.32,Urban Cabs,Central Clinic,LAX,7.4,BUR,43.6,LGB,23.7
Capitol Stay,Los Angeles,CA,LAX,4.6,BUR,14,LGB,31.8,259.33,Star Taxi,Lakeside Medical Center,LAX,35.9,BUR,10.3,LGB,29.5
Urban Retreat,Los Angeles,CA,LAX,9.9,BUR,30,LGB,45.8,206.78,Comfort Ride,Northside Hospital,LAX,35.7,BUR,45.9,LGB,11.8
Maple Leaf Lodge,Los Angeles,CA,LAX,25,BUR,14.5,LGB,49,282.24,Green Cab,City Health Clinic,LAX,31.4,BUR,42.7,LGB,38.2
Harbor View Hotel,San Francisco,CA,SFO,49.9,OAK,27.2,SJC,36.2,116.72,Eagle Taxi,Urban Health Clinic,SFO,37,OAK,36.7,SJC,31.2
Crystal Waters Hotel,San Francisco,CA,SFO,20.6,OAK,45.9,SJC,20.1,116.42,Golden Cab,West End Hospital,SFO,7.1,OAK,19.7,SJC,23.3
Capitol Stay,San Francisco,CA,SFO,5.4,OAK,7.5,SJC,49.5,178.22,Quick Ride,Coastal Health Center,SFO,28,OAK,45.3,SJC,48
Skyline Suites,San Francisco,CA,SFO,15.2,OAK,32,SJC,34,143.91,Liberty Taxi,Central Clinic,SFO,9.2,OAK,24.5,SJC,47.9
Mountain Peak Lodge,Los Angeles,CA,LAX,36.8,BUR,26.4,LGB,48,288.22,BlueLine Taxi,Harbor Hospital,LAX,23.5,BUR,31.6,LGB,28.8
Sapphire Hotel,San Francisco,CA,SFO,26.7,OAK,45.9,SJC,17.6,204.83,Comfort Ride,Southern Health Clinic,LAX,34.7,BUR,1.2,LGB,12.7
Pine Tree Inn,San Francisco,CA,SFO,23.2,OAK,6.2,SJC,36.5,173.05,BlueLine Taxi,St. Mary's Hospital,SFO,20.7,OAK,17.9,SJC,17.4
Coastal Breeze Hotel,San Francisco,CA,SFO,34.4,OAK,10,SJC,38.2,171.07,Metro Taxi,Northside Hospital,SFO,27.4,OAK,30.8,SJC,39.8
Pine Tree Inn,Los Angeles,CA,LAX,24.3,BUR,6.1,LGB,31.9,123.23,First Choice Taxi,Community Hospital,SFO,46.6,OAK,40,SJC,16.9
Crystal Waters Hotel,San Francisco,CA,SFO,44.8,OAK,8.8,SJC,48,114.66,Comfort Ride,City Health Clinic,SFO,23.1,OAK,7.5,SJC,45.2
Coastal Breeze Hotel,San Francisco,CA,SFO,45.5,OAK,40.6,SJC,43.2,186.01,Rapid Cab,Lakeside Medical Center,LAX,0.9,BUR,30.5,LGB,39
Sapphire Hotel,Los Angeles,CA,LAX,15.8,BUR,29.4,LGB,28.3,273.81,Elite Taxi,Southern Health Clinic,SFO,13.2,OAK,16.6,SJC,30.1
Broadway Hotel,San Francisco,CA,SFO,7.5,OAK,7.7,SJC,1.8,158.34,BlueLine Taxi,Mountain View Hospital,SFO,33.6,OAK,7.8,SJC,7.6
Harbor View Hotel,San Francisco,CA,SFO,4.2,OAK,38.2,SJC,26.8,147.96,Reliable Rides,Urban Health Clinic,LAX,39.1,BUR,46.3,LGB,49.3
Maple Leaf Lodge,Los Angeles,CA,LAX,21.3,BUR,44.9,LGB,49.3,101.92,Sunshine Taxi,Urban Health Clinic,LAX,16,BUR,24.1,LGB,23.9
Riverfront Hotel,San Francisco,CA,SFO,6,OAK,25.7,SJC,34.6,248.63,Alpha Cab,Riverfront Medical Center,LAX,11.5,BUR,21.3,LGB,0.9
Central Park Inn,Los Angeles,CA,LAX,5.1,BUR,37.2,LGB,14,139.04,Royal Cab,Memorial Hospital,SFO,48.1,OAK,36.5,SJC,48.9
Sunset Inn,San Francisco,CA,SFO,20,OAK,43.5,SJC,44,208.9,Sunshine Taxi,Community Hospital,SFO,7.2,OAK,47.9,SJC,38.3
Grand Plaza,Los Angeles,CA,LAX,5.3,BUR,11.1,LGB,7.1,196.66,Urban Cabs,Lakeside Medical Center,SFO,18.4,OAK,23.3,SJC,30.6
