Hospital Name,City,State,Nearest Airport 1,Distance to Airport 1 (miles),Nearest Airport 2,Distance to Airport 2 (miles),Nearest Airport 3,Distance to Airport 3 (miles)
Coastal Health Center,Seattle,WA,SEA,31.7,PAE,14.0,BFI,33.8
Community Hospital,Miami,FL,MIA,17.1,FLL,48.1,PBI,1.4
Urban Health Clinic,St. Louis,MO,STL,36.1,CPS,10.7,BLV,49.2
Memorial Hospital,Atlanta,GA,ATL,47.8,PBI,29.0,BHM,29.4
City Health Clinic,St. Louis,MO,STL,19.7,CPS,4.9,BLV,4.4
City Medical Center,New York,NY,JFK,32.6,LGA,46.4,EWR,9.6
Memorial Hospital,Washington,DC,DCA,18.7,IAD,49.3,BWI,24.7
Pine Valley Hospital,Seattle,WA,SEA,23.3,PAE,22.7,BFI,13.9
Northside Hospital,Seattle,WA,SEA,14.9,PAE,18.4,BFI,47.8
Northeast Medical Center,Washington,DC,DCA,8.8,IAD,31.2,BWI,48.5
Regional Medical Center,San Francisco,CA,SFO,25.7,OAK,24.9,SJC,23.8
Main Street Medical Center,Seattle,WA,SEA,19.1,PAE,45.1,BFI,43.9
General Hospital,Washington,DC,DCA,36.6,IAD,32.0,BWI,49.5
Urban Health Clinic,Miami,FL,MIA,33.8,FLL,11.3,PBI,15.8
Lakeside Medical Center,St. Louis,MO,STL,20.7,CPS,13.0,BLV,17.2
Valley Health Center,Phoenix,AZ,PHX,43.7,AZA,36.4,SDL,43.9
Northeast Medical Center,Los Angeles,CA,LAX,14.3,BUR,31.6,LGB,30.5
Green Valley Hospital,Chicago,IL,ORD,32.9,MDW,3.2,RFD,4.7
Lakeside Medical Center,San Francisco,CA,SFO,49.6,OAK,15.5,SJC,5.6
Eastside Medical Center,Phoenix,AZ,PHX,4.1,AZA,45.1,SDL,28.9
Central Clinic,Seattle,WA,SEA,43.3,PAE,48.0,BFI,6.9
Main Street Medical Center,Chicago,IL,ORD,30.1,MDW,27.6,RFD,34.0
Southern Health Clinic,Miami,FL,MIA,45.4,FLL,33.9,PBI,31.4
Pine Valley Hospital,Washington,DC,DCA,29.2,IAD,27.6,BWI,38.9
Green Valley Hospital,Washington,DC,DCA,9.7,IAD,49.7,BWI,10.5
Community Hospital,St. Louis,MO,STL,49.7,CPS,18.1,BLV,43.3
West End Hospital,Chicago,IL,ORD,31.8,MDW,19.1,RFD,23.0
Eastside Medical Center,New York,NY,JFK,18.5,LGA,3.9,EWR,12.2
Southern Health Clinic,Atlanta,GA,ATL,31.9,PBI,26.7,BHM,48.8
Sunrise Hospital,San Francisco,CA,SFO,11.7,OAK,41.5,SJC,24.6
Coastal Health Center,San Francisco,CA,SFO,46.3,OAK,41.6,SJC,8.1
Downtown Medical Center,Seattle,WA,SEA,35.9,PAE,18.5,BFI,35.7
City Health Clinic,Atlanta,GA,ATL,29.9,PBI,38.9,BHM,8.1
Regional Medical Center,San Francisco,CA,SFO,4.7,OAK,20.0,SJC,39.0
City Health Clinic,Chicago,IL,ORD,47.8,MDW,47.5,RFD,31.1
Community Hospital,Phoenix,AZ,PHX,18.3,AZA,15.8,SDL,10.7
Main Street Medical Center,Chicago,IL,ORD,15.7,MDW,37.3,RFD,41.8
Urban Health Clinic,New York,NY,JFK,30.7,LGA,15.1,EWR,8.9
Riverfront Medical Center,Chicago,IL,ORD,23.9,MDW,44.4,RFD,5.0
General Hospital,Phoenix,AZ,PHX,45.1,AZA,17.2,SDL,18.4
Green Valley Hospital,St. Louis,MO,STL,6.8,CPS,31.6,BLV,7.0
City Medical Center,St. Louis,MO,STL,10.6,CPS,8.6,BLV,18.4
Downtown Medical Center,New York,NY,JFK,4.5,LGA,3.3,EWR,28.3
St. Mary's Hospital,St. Louis,MO,STL,7.9,CPS,6.9,BLV,15.5
West End Hospital,Phoenix,AZ,PHX,10.6,AZA,18.6,SDL,14.0
Northeast Medical Center,Phoenix,AZ,PHX,11.4,AZA,8.3,SDL,11.2
Southern Health Clinic,Chicago,IL,ORD,7.8,MDW,7.1,RFD,21.0
Northeast Medical Center,Phoenix,AZ,PHX,17.0,AZA,42.2,SDL,34.8
Southern Health Clinic,Washington,DC,DCA,33.2,IAD,42.7,BWI,25.0
Eastside Medical Center,Los Angeles,CA,LAX,22.0,BUR,11.1,LGB,21.2
Lakeside Medical Center,Miami,FL,MIA,27.6,FLL,10.5,PBI,40.2
Mountain View Hospital,Seattle,WA,SEA,3.0,PAE,3.2,BFI,37.8
Regional Medical Center,Washington,DC,DCA,38.4,IAD,41.3,BWI,47.3
Central Clinic,Washington,DC,DCA,28.4,IAD,36.6,BWI,41.0
Community Hospital,San Francisco,CA,SFO,6.3,OAK,34.4,SJC,42.0
Regional Medical Center,Atlanta,GA,ATL,24.1,PBI,12.7,BHM,27.8
General Hospital,San Francisco,CA,SFO,32.9,OAK,45.4,SJC,14.3
Northeast Medical Center,San Francisco,CA,SFO,12.1,OAK,11.6,SJC,3.5
General Hospital,Seattle,WA,SEA,27.2,PAE,49.3,BFI,42.3
Pine Valley Hospital,Washington,DC,DCA,28.8,IAD,18.5,BWI,48.0
West End Hospital,New York,NY,JFK,36.7,LGA,36.3,EWR,15.0
Downtown Medical Center,Phoenix,AZ,PHX,17.7,AZA,45.3,SDL,2.3
Central Clinic,New York,NY,JFK,12.0,LGA,30.7,EWR,14.1
Sunrise Hospital,Washington,DC,DCA,16.4,IAD,5.2,BWI,40.2
Urban Health Clinic,New York,NY,JFK,25.2,LGA,34.2,EWR,22.7
Coastal Health Center,Washington,DC,DCA,21.9,IAD,38.9,BWI,41.5
Sunrise Hospital,Miami,FL,MIA,19.4,FLL,12.0,PBI,15.6
Coastal Health Center,Seattle,WA,SEA,11.4,PAE,33.7,BFI,19.1
City Health Clinic,Phoenix,AZ,PHX,15.7,AZA,23.9,SDL,14.4
Green Valley Hospital,Seattle,WA,SEA,23.2,PAE,33.4,BFI,36.1
Main Street Medical Center,Phoenix,AZ,PHX,20.5,AZA,15.5,SDL,19.8
Valley Health Center,Atlanta,GA,ATL,23.0,PBI,19.7,BHM,32.0
Riverfront Medical Center,Atlanta,GA,ATL,23.8,PBI,33.6,BHM,1.5
City Medical Center,Washington,DC,DCA,36.2,IAD,11.5,BWI,35.4
City Health Clinic,Phoenix,AZ,PHX,29.3,AZA,9.0,SDL,4.7
Downtown Medical Center,San Francisco,CA,SFO,23.7,OAK,8.7,SJC,47.8
Green Valley Hospital,San Francisco,CA,SFO,26.6,OAK,22.0,SJC,34.9
Pine Valley Hospital,San Francisco,CA,SFO,27.9,OAK,35.4,SJC,39.4
Lakeside Medical Center,Phoenix,AZ,PHX,24.0,AZA,23.0,SDL,7.4
Central Clinic,Phoenix,AZ,PHX,47.6,AZA,17.6,SDL,1.0
Coastal Health Center,San Francisco,CA,SFO,45.1,OAK,14.9,SJC,3.9
Memorial Hospital,St. Louis,MO,STL,8.4,CPS,46.9,BLV,5.9
Eastside Medical Center,Seattle,WA,SEA,41.0,PAE,49.1,BFI,6.5
Community Hospital,Seattle,WA,SEA,43.2,PAE,11.3,BFI,30.0
Main Street Medical Center,Washington,DC,DCA,22.9,IAD,40.5,BWI,43.2
Lakeside Medical Center,Seattle,WA,SEA,14.0,PAE,35.8,BFI,21.1
Sunrise Hospital,Atlanta,GA,ATL,36.6,PBI,39.6,BHM,30.7
Northside Hospital,Atlanta,GA,ATL,45.4,PBI,38.2,BHM,1.1
West End Hospital,Los Angeles,CA,LAX,30.6,BUR,21.2,LGB,1.0
Lakeside Medical Center,Phoenix,AZ,PHX,0.7,AZA,25.6,SDL,29.1
St. Mary's Hospital,New York,NY,JFK,33.8,LGA,40.7,EWR,16.1
Urban Health Clinic,St. Louis,MO,STL,45.2,CPS,45.3,BLV,13.7
Eastside Medical Center,Miami,FL,MIA,45.6,FLL,28.2,PBI,26.2
City Medical Center,San Francisco,CA,SFO,38.1,OAK,28.0,SJC,2.2
Riverfront Medical Center,Chicago,IL,ORD,1.3,MDW,8.9,RFD,17.3
Main Street Medical Center,Seattle,WA,SEA,39.6,PAE,10.2,BFI,2.5
Regional Medical Center,Seattle,WA,SEA,9.4,PAE,44.0,BFI,31.0
Northeast Medical Center,Atlanta,GA,ATL,45.4,PBI,17.5,BHM,41.7
Urban Health Clinic,Miami,FL,MIA,30.1,FLL,36.8,PBI,4.9
Sunrise Hospital,Atlanta,GA,ATL,29.3,PBI,13.0,BHM,22.6
Pine Valley Hospital,San Francisco,CA,SFO,47.5,OAK,5.1,SJC,39.8
Urban Health Clinic,Los Angeles,CA,LAX,42.2,BUR,4.1,LGB,5.3
Northside Hospital,Seattle,WA,SEA,35.3,PAE,33.5,BFI,41.4
City Medical Center,New York,NY,JFK,46.3,LGA,7.0,EWR,48.6
Mountain View Hospital,Miami,FL,MIA,31.3,FLL,20.2,PBI,25.9
Sunrise Hospital,Atlanta,GA,ATL,9.8,PBI,18.6,BHM,12.0
City Health Clinic,St. Louis,MO,STL,5.3,CPS,26.0,BLV,3.6
Lakeside Medical Center,Seattle,WA,SEA,26.2,PAE,4.5,BFI,27.8
City Health Clinic,Seattle,WA,SEA,11.1,PAE,28.2,BFI,40.7
Regional Medical Center,Los Angeles,CA,LAX,39.9,BUR,43.3,LGB,6.2
Harbor Hospital,Phoenix,AZ,PHX,1.7,AZA,30.9,SDL,49.7
Northeast Medical Center,Los Angeles,CA,LAX,14.5,BUR,7.8,LGB,37.7
Mountain View Hospital,Los Angeles,CA,LAX,15.8,BUR,45.9,LGB,26.3
Pine Valley Hospital,Miami,FL,MIA,24.0,FLL,11.5,PBI,14.3
Southern Health Clinic,Los Angeles,CA,LAX,21.0,BUR,14.6,LGB,1.6
Mountain View Hospital,Miami,FL,MIA,18.0,FLL,25.6,PBI,4.4
Valley Health Center,Los Angeles,CA,LAX,48.2,BUR,12.9,LGB,3.5
Community Hospital,Miami,FL,MIA,40.1,FLL,29.8,PBI,18.9
West End Hospital,Los Angeles,CA,LAX,0.7,BUR,42.4,LGB,8.7
West End Hospital,New York,NY,JFK,9.4,LGA,45.4,EWR,34.5
West End Hospital,Los Angeles,CA,LAX,35.2,BUR,39.6,LGB,1.2
City Medical Center,Atlanta,GA,ATL,41.3,PBI,8.5,BHM,28.4
Memorial Hospital,Washington,DC,DCA,27.9,IAD,0.9,BWI,46.5
Urban Health Clinic,Miami,FL,MIA,13.4,FLL,19.5,PBI,25.2
Pine Valley Hospital,Seattle,WA,SEA,12.5,PAE,41.5,BFI,26.9
Downtown Medical Center,San Francisco,CA,SFO,9.4,OAK,49.9,SJC,43.6
Urban Health Clinic,St. Louis,MO,STL,11.5,CPS,49.8,BLV,30.3
Riverfront Medical Center,Atlanta,GA,ATL,47.5,PBI,14.7,BHM,45.9
Eastside Medical Center,Miami,FL,MIA,26.4,FLL,41.6,PBI,4.4
City Health Clinic,Miami,FL,MIA,33.3,FLL,22.8,PBI,16.2
Green Valley Hospital,New York,NY,JFK,13.6,LGA,40.6,EWR,10.7
Harbor Hospital,San Francisco,CA,SFO,30.0,OAK,6.9,SJC,40.7
Pine Valley Hospital,San Francisco,CA,SFO,17.0,OAK,44.5,SJC,3.9
City Health Clinic,St. Louis,MO,STL,44.5,CPS,7.5,BLV,0.5
Coastal Health Center,Miami,FL,MIA,47.2,FLL,47.3,PBI,20.3
Sunrise Hospital,Atlanta,GA,ATL,34.8,PBI,26.5,BHM,25.5
Central Clinic,Miami,FL,MIA,14.7,FLL,33.9,PBI,1.5
Regional Medical Center,Los Angeles,CA,LAX,9.3,BUR,47.2,LGB,38.9
Memorial Hospital,New York,NY,JFK,1.5,LGA,20.9,EWR,18.4
Central Clinic,Washington,DC,DCA,39.4,IAD,24.7,BWI,33.0
Harbor Hospital,Phoenix,AZ,PHX,49.9,AZA,38.4,SDL,41.2
Pine Valley Hospital,Seattle,WA,SEA,9.6,PAE,17.9,BFI,19.4
Northside Hospital,Los Angeles,CA,LAX,48.1,BUR,11.1,LGB,7.9
Community Hospital,Phoenix,AZ,PHX,28.3,AZA,5.1,SDL,42.9
City Health Clinic,Miami,FL,MIA,5.3,FLL,38.5,PBI,31.1
Southern Health Clinic,Seattle,WA,SEA,3.6,PAE,21.6,BFI,36.4
Eastside Medical Center,Seattle,WA,SEA,13.5,PAE,27.0,BFI,29.2
Northeast Medical Center,Phoenix,AZ,PHX,38.8,AZA,15.5,SDL,37.7
Riverfront Medical Center,San Francisco,CA,SFO,5.9,OAK,25.6,SJC,9.8
Main Street Medical Center,Washington,DC,DCA,27.9,IAD,5.9,BWI,36.5
Riverfront Medical Center,St. Louis,MO,STL,28.8,CPS,48.9,BLV,19.4
Riverfront Medical Center,New York,NY,JFK,43.3,LGA,31.9,EWR,38.8
Northeast Medical Center,Atlanta,GA,ATL,44.6,PBI,4.3,BHM,19.4
Harbor Hospital,San Francisco,CA,SFO,44.5,OAK,11.5,SJC,9.2
Lakeside Medical Center,Washington,DC,DCA,22.3,IAD,37.7,BWI,45.4
West End Hospital,Chicago,IL,ORD,22.0,MDW,41.8,RFD,40.0
General Hospital,St. Louis,MO,STL,32.5,CPS,39.4,BLV,36.3
Eastside Medical Center,Atlanta,GA,ATL,4.2,PBI,33.6,BHM,17.0
St. Mary's Hospital,Miami,FL,MIA,38.8,FLL,46.6,PBI,43.3
Mountain View Hospital,Miami,FL,MIA,32.0,FLL,14.1,PBI,20.9
West End Hospital,Phoenix,AZ,PHX,33.2,AZA,42.7,SDL,48.1
Sunrise Hospital,Los Angeles,CA,LAX,7.3,BUR,49.8,LGB,0.8
City Health Clinic,Washington,DC,DCA,38.8,IAD,18.7,BWI,37.4
Valley Health Center,Atlanta,GA,ATL,42.6,PBI,40.3,BHM,2.6
Riverfront Medical Center,San Francisco,CA,SFO,40.2,OAK,13.9,SJC,21.4
Riverfront Medical Center,New York,NY,JFK,32.2,LGA,32.4,EWR,2.7
Sunrise Hospital,Chicago,IL,ORD,31.1,MDW,45.4,RFD,9.7
City Medical Center,St. Louis,MO,STL,2.2,CPS,43.6,BLV,40.1
Regional Medical Center,Chicago,IL,ORD,40.5,MDW,26.0,RFD,9.5
Community Hospital,San Francisco,CA,SFO,17.1,OAK,4.5,SJC,3.2
Riverfront Medical Center,Seattle,WA,SEA,23.6,PAE,44.2,BFI,41.2
Urban Health Clinic,Phoenix,AZ,PHX,31.7,AZA,1.9,SDL,12.0
City Medical Center,Seattle,WA,SEA,5.3,PAE,7.9,BFI,21.8
West End Hospital,Seattle,WA,SEA,45.5,PAE,36.0,BFI,35.4
Green Valley Hospital,Chicago,IL,ORD,16.6,MDW,31.9,RFD,2.8
Northside Hospital,Miami,FL,MIA,19.4,FLL,35.6,PBI,25.4
Community Hospital,Los Angeles,CA,LAX,40.8,BUR,0.5,LGB,21.7
City Health Clinic,New York,NY,JFK,36.3,LGA,3.9,EWR,22.9
Memorial Hospital,Seattle,WA,SEA,21.3,PAE,29.1,BFI,38.3
General Hospital,New York,NY,JFK,31.1,LGA,27.7,EWR,37.4
Coastal Health Center,Atlanta,GA,ATL,15.6,PBI,49.2,BHM,12.8
Riverfront Medical Center,San Francisco,CA,SFO,40.4,OAK,8.0,SJC,5.0
Central Clinic,Seattle,WA,SEA,23.1,PAE,29.0,BFI,25.1
Sunrise Hospital,San Francisco,CA,SFO,29.7,OAK,45.1,SJC,26.3
Urban Health Clinic,Los Angeles,CA,LAX,30.7,BUR,23.7,LGB,10.2
Central Clinic,St. Louis,MO,STL,38.6,CPS,19.8,BLV,37.2
Eastside Medical Center,New York,NY,JFK,5.2,LGA,17.9,EWR,46.2
Northeast Medical Center,Seattle,WA,SEA,23.9,PAE,28.8,BFI,2.9
Downtown Medical Center,Miami,FL,MIA,19.0,FLL,31.3,PBI,19.0
Sunrise Hospital,Washington,DC,DCA,34.0,IAD,34.0,BWI,30.6
Memorial Hospital,Phoenix,AZ,PHX,4.0,AZA,24.4,SDL,23.6
City Health Clinic,Atlanta,GA,ATL,10.7,PBI,42.7,BHM,27.3
Northside Hospital,Seattle,WA,SEA,18.2,PAE,34.7,BFI,28.4
General Hospital,Washington,DC,DCA,14.1,IAD,46.7,BWI,43.2
Northside Hospital,Phoenix,AZ,PHX,39.9,AZA,16.0,SDL,19.0
St. Mary's Hospital,Miami,FL,MIA,25.8,FLL,32.2,PBI,13.8
Community Hospital,Miami,FL,MIA,48.9,FLL,31.5,PBI,19.1
West End Hospital,Los Angeles,CA,LAX,24.0,BUR,22.6,LGB,16.6
Coastal Health Center,St. Louis,MO,STL,15.8,CPS,4.1,BLV,25.0
Coastal Health Center,San Francisco,CA,SFO,31.0,OAK,32.3,SJC,2.6
City Health Clinic,New York,NY,JFK,25.6,LGA,40.5,EWR,12.9
Urban Health Clinic,Seattle,WA,SEA,5.2,PAE,33.6,BFI,20.5
Northeast Medical Center,Washington,DC,DCA,38.6,IAD,24.7,BWI,30.7
Central Clinic,St. Louis,MO,STL,44.9,CPS,14.4,BLV,42.2
Mountain View Hospital,St. Louis,MO,STL,35.0,CPS,15.2,BLV,22.4
City Health Clinic,New York,NY,JFK,5.9,LGA,27.1,EWR,27.2
West End Hospital,San Francisco,CA,SFO,7.1,OAK,19.7,SJC,23.3
Urban Health Clinic,Phoenix,AZ,PHX,42.3,AZA,48.5,SDL,43.7
Northside Hospital,Washington,DC,DCA,47.8,IAD,27.7,BWI,34.9
Northside Hospital,Los Angeles,CA,LAX,10.1,BUR,21.5,LGB,4.1
Mountain View Hospital,Chicago,IL,ORD,41.2,MDW,35.6,RFD,24.5
West End Hospital,Phoenix,AZ,PHX,31.9,AZA,30.8,SDL,28.3
City Health Clinic,Los Angeles,CA,LAX,31.4,BUR,42.7,LGB,38.2
Northside Hospital,Los Angeles,CA,LAX,35.7,BUR,45.9,LGB,11.8
Lakeside Medical Center,Los Angeles,CA,LAX,35.9,BUR,10.3,LGB,29.5
Memorial Hospital,St. Louis,MO,STL,28.9,CPS,41.8,BLV,35.9
Central Clinic,Los Angeles,CA,LAX,7.4,BUR,43.6,LGB,23.7
Mountain View Hospital,Los Angeles,CA,LAX,32.6,BUR,49.3,LGB,44.4
Southern Health Clinic,Miami,FL,MIA,0.5,FLL,6.3,PBI,45.4
General Hospital,Washington,DC,DCA,4.8,IAD,21.3,BWI,25.9
Riverfront Medical Center,Miami,FL,MIA,43.2,FLL,9.9,PBI,19.7
Downtown Medical Center,St. Louis,MO,STL,15.5,CPS,18.9,BLV,10.3
Harbor Hospital,Chicago,IL,ORD,40.2,MDW,27.8,RFD,9.4
Northside Hospital,Phoenix,AZ,PHX,8.4,AZA,32.3,SDL,4.1
Main Street Medical Center,Washington,DC,DCA,0.8,IAD,25.4,BWI,42.3
Sunrise Hospital,New York,NY,JFK,48.9,LGA,7.2,EWR,41.0
Mountain View Hospital,Washington,DC,DCA,29.9,IAD,25.8,BWI,17.2
Regional Medical Center,Seattle,WA,SEA,15.2,PAE,33.2,BFI,42.1
Green Valley Hospital,Los Angeles,CA,LAX,43.1,BUR,44.3,LGB,33.0
Urban Health Clinic,Seattle,WA,SEA,2.4,PAE,3.2,BFI,3.9
Valley Health Center,Washington,DC,DCA,28.6,IAD,17.3,BWI,13.4
Green Valley Hospital,San Francisco,CA,SFO,48.3,OAK,19.3,SJC,10.7
Northeast Medical Center,Washington,DC,DCA,15.4,IAD,47.9,BWI,25.3
City Medical Center,Phoenix,AZ,PHX,10.0,AZA,4.6,SDL,8.3
Memorial Hospital,Chicago,IL,ORD,35.0,MDW,17.2,RFD,37.3
City Health Clinic,Seattle,WA,SEA,23.9,PAE,26.7,BFI,34.1
Downtown Medical Center,Phoenix,AZ,PHX,28.0,AZA,27.1,SDL,46.4
Southern Health Clinic,Phoenix,AZ,PHX,40.6,AZA,48.1,SDL,27.6
Regional Medical Center,Chicago,IL,ORD,40.0,MDW,22.5,RFD,24.8
Urban Health Clinic,Washington,DC,DCA,22.9,IAD,21.9,BWI,32.5
Pine Valley Hospital,Phoenix,AZ,PHX,45.0,AZA,1.9,SDL,21.4
Central Clinic,Los Angeles,CA,LAX,33.6,BUR,34.1,LGB,5.7
Sunrise Hospital,Seattle,WA,SEA,36.1,PAE,23.8,BFI,6.0
Downtown Medical Center,Miami,FL,MIA,41.8,FLL,21.2,PBI,36.0
Downtown Medical Center,San Francisco,CA,SFO,14.7,OAK,15.0,SJC,10.0
City Medical Center,Atlanta,GA,ATL,14.9,PBI,7.1,BHM,33.2
Pine Valley Hospital,Los Angeles,CA,LAX,30.7,BUR,35.5,LGB,33.7
Memorial Hospital,Phoenix,AZ,PHX,7.2,AZA,34.6,SDL,3.0
Coastal Health Center,Miami,FL,MIA,45.3,FLL,28.9,PBI,34.5
Southern Health Clinic,New York,NY,JFK,44.6,LGA,12.2,EWR,27.7
Harbor Hospital,Atlanta,GA,ATL,29.9,PBI,7.4,BHM,32.1
Main Street Medical Center,Atlanta,GA,ATL,11.6,PBI,22.4,BHM,15.7
Central Clinic,Washington,DC,DCA,11.1,IAD,38.4,BWI,26.5
Harbor Hospital,Phoenix,AZ,PHX,24.3,AZA,17.1,SDL,48.4
West End Hospital,Phoenix,AZ,PHX,26.9,AZA,13.1,SDL,14.8
Urban Health Clinic,Phoenix,AZ,PHX,4.3,AZA,42.1,SDL,43.8
City Medical Center,San Francisco,CA,SFO,37.5,OAK,9.0,SJC,13.7
West End Hospital,Atlanta,GA,ATL,31.0,PBI,11.7,BHM,38.1
Community Hospital,St. Louis,MO,STL,42.0,CPS,49.5,BLV,49.2
Regional Medical Center,Chicago,IL,ORD,26.2,MDW,37.1,RFD,37.1
Downtown Medical Center,Los Angeles,CA,LAX,15.6,BUR,40.9,LGB,3.3
City Health Clinic,Los Angeles,CA,LAX,22.1,BUR,3.2,LGB,40.9
Community Hospital,Phoenix,AZ,PHX,45.9,AZA,28.9,SDL,25.5
Green Valley Hospital,Chicago,IL,ORD,8.0,MDW,36.1,RFD,30.4
St. Mary's Hospital,Washington,DC,DCA,4.6,IAD,23.4,BWI,12.9
Valley Health Center,Chicago,IL,ORD,41.9,MDW,32.9,RFD,9.4
City Health Clinic,Chicago,IL,ORD,23.5,MDW,13.6,RFD,33.7
West End Hospital,Los Angeles,CA,LAX,3.4,BUR,37.2,LGB,44.2
City Medical Center,Chicago,IL,ORD,14.7,MDW,17.6,RFD,25.0
Green Valley Hospital,Washington,DC,DCA,14.3,IAD,14.7,BWI,32.3
Memorial Hospital,San Francisco,CA,SFO,20.2,OAK,1.2,SJC,49.8
Green Valley Hospital,New York,NY,JFK,32.1,LGA,48.2,EWR,28.2
City Medical Center,Chicago,IL,ORD,39.4,MDW,23.8,RFD,32.4
Northeast Medical Center,New York,NY,JFK,25.5,LGA,39.0,EWR,37.4
Regional Medical Center,Chicago,IL,ORD,6.0,MDW,39.0,RFD,26.7
St. Mary's Hospital,San Francisco,CA,SFO,47.9,OAK,49.1,SJC,31.3
Southern Health Clinic,St. Louis,MO,STL,35.7,CPS,22.0,BLV,41.4
Main Street Medical Center,New York,NY,JFK,33.2,LGA,14.9,EWR,9.9
Coastal Health Center,Phoenix,AZ,PHX,9.3,AZA,44.0,SDL,11.7
Eastside Medical Center,St. Louis,MO,STL,32.5,CPS,35.9,BLV,19.0
Urban Health Clinic,New York,NY,JFK,7.2,LGA,39.0,EWR,8.1
Central Clinic,Phoenix,AZ,PHX,5.8,AZA,8.3,SDL,15.1
City Medical Center,New York,NY,JFK,49.9,LGA,20.3,EWR,16.4
West End Hospital,New York,NY,JFK,20.7,LGA,47.1,EWR,16.8
Mountain View Hospital,St. Louis,MO,STL,28.8,CPS,6.0,BLV,35.0
City Medical Center,Miami,FL,MIA,21.8,FLL,36.5,PBI,21.2
Pine Valley Hospital,New York,NY,JFK,31.7,LGA,31.3,EWR,12.4
Eastside Medical Center,Phoenix,AZ,PHX,24.9,AZA,30.1,SDL,34.6
Southern Health Clinic,Seattle,WA,SEA,27.7,PAE,39.9,BFI,33.7
Regional Medical Center,Los Angeles,CA,LAX,21.0,BUR,41.1,LGB,48.1
General Hospital,Chicago,IL,ORD,9.7,MDW,33.0,RFD,9.0
City Health Clinic,St. Louis,MO,STL,13.6,CPS,49.8,BLV,30.2
Urban Health Clinic,St. Louis,MO,STL,27.9,CPS,38.5,BLV,9.2
City Medical Center,Phoenix,AZ,PHX,3.0,AZA,30.1,SDL,29.3
Urban Health Clinic,Chicago,IL,ORD,9.7,MDW,29.9,RFD,0.5
Eastside Medical Center,San Francisco,CA,SFO,49.6,OAK,30.6,SJC,28.9
Sunrise Hospital,Phoenix,AZ,PHX,48.1,AZA,25.1,SDL,46.3
Northside Hospital,Los Angeles,CA,LAX,26.1,BUR,25.8,LGB,23.4
Green Valley Hospital,Miami,FL,MIA,4.9,FLL,19.9,PBI,11.7
Urban Health Clinic,Los Angeles,CA,LAX,19.9,BUR,28.7,LGB,17.8
Northside Hospital,New York,NY,JFK,40.6,LGA,26.6,EWR,35.5
Urban Health Clinic,Washington,DC,DCA,44.5,IAD,13.0,BWI,49.4
General Hospital,Phoenix,AZ,PHX,10.5,AZA,7.1,SDL,21.6
St. Mary's Hospital,New York,NY,JFK,13.3,LGA,15.8,EWR,38.0
Eastside Medical Center,New York,NY,JFK,45.7,LGA,23.7,EWR,47.9
City Health Clinic,Phoenix,AZ,PHX,17.1,AZA,23.7,SDL,15.1
Central Clinic,Washington,DC,DCA,17.3,IAD,11.2,BWI,36.8
Sunrise Hospital,St. Louis,MO,STL,44.2,CPS,27.6,BLV,22.0
Harbor Hospital,New York,NY,JFK,45.7,LGA,1.1,EWR,38.4
City Medical Center,Chicago,IL,ORD,1.8,MDW,25.4,RFD,35.0
Green Valley Hospital,St. Louis,MO,STL,21.1,CPS,28.7,BLV,14.5
Lakeside Medical Center,Washington,DC,DCA,42.0,IAD,38.7,BWI,12.5
West End Hospital,Washington,DC,DCA,21.2,IAD,16.8,BWI,42.3
Riverfront Medical Center,New York,NY,JFK,11.1,LGA,39.8,EWR,2.0
Community Hospital,Washington,DC,DCA,13.1,IAD,23.5,BWI,27.2
Regional Medical Center,Los Angeles,CA,LAX,25.9,BUR,30.7,LGB,36.9
Southern Health Clinic,New York,NY,JFK,14.0,LGA,42.0,EWR,28.4
West End Hospital,St. Louis,MO,STL,27.2,CPS,16.2,BLV,16.0
City Medical Center,New York,NY,JFK,42.2,LGA,4.6,EWR,38.7
Lakeside Medical Center,Washington,DC,DCA,22.2,IAD,43.4,BWI,35.8
Memorial Hospital,New York,NY,JFK,25.3,LGA,19.1,EWR,12.7
General Hospital,Chicago,IL,ORD,11.2,MDW,6.6,RFD,27.0
Valley Health Center,Miami,FL,MIA,28.5,FLL,1.3,PBI,38.4
Lakeside Medical Center,Miami,FL,MIA,39.3,FLL,21.9,PBI,34.5
Urban Health Clinic,Washington,DC,DCA,20.8,IAD,37.4,BWI,46.7
Urban Health Clinic,San Francisco,CA,SFO,37.0,OAK,36.7,SJC,31.2
City Medical Center,Seattle,WA,SEA,48.5,PAE,9.4,BFI,48.4
Riverfront Medical Center,Washington,DC,DCA,48.9,IAD,44.8,BWI,39.9
Northside Hospital,St. Louis,MO,STL,42.4,CPS,45.8,BLV,14.3
Riverfront Medical Center,Washington,DC,DCA,14.9,IAD,17.7,BWI,21.6
Regional Medical Center,St. Louis,MO,STL,28.0,CPS,4.5,BLV,18.6
Coastal Health Center,San Francisco,CA,SFO,28.0,OAK,45.3,SJC,48.0
Valley Health Center,Washington,DC,DCA,44.8,IAD,9.9,BWI,23.1
Memorial Hospital,Phoenix,AZ,PHX,47.8,AZA,45.6,SDL,20.6
Northeast Medical Center,Seattle,WA,SEA,35.4,PAE,7.5,BFI,16.2
City Health Clinic,Chicago,IL,ORD,38.5,MDW,37.3,RFD,27.9
Mountain View Hospital,Chicago,IL,ORD,27.1,MDW,38.4,RFD,20.3
