Flight Number,Airline,Origin Airport,Destination Airport,Scheduled Departure Time,Actual Departure Time,Scheduled Arrival Time,Actual Arrival Time,Date,Day of the Week,Distance (miles),Weather Conditions,Delay (minutes)
DE331,Delta,DEN,SEA,2024-05-08 17:20,2024-05-08 18:12,2024-05-08 23:00,2024-05-08 23:52,2024-05-09,Thursday,2134,Rain,52
AM7238,American,CLT,PHL,2024-05-22 06:57,2024-05-22 08:14,2024-05-22 12:53,2024-05-22 13:31,2024-05-20,Monday,839,Clear,77
DE3071,Delta,BWI,DTW,2024-05-07 10:50,2024-05-07 11:27,2024-05-07 12:46,2024-05-07 12:34,2024-05-22,Wednesday,1301,Clear,37
FR8434,Frontier,DFW,LAX,2024-05-01 02:05,2024-05-01 04:39,2024-05-01 05:16,2024-05-01 05:26,2024-05-03,Friday,2810,Snow,154
DE5660,Delta,ORD,PHL,2024-05-28 17:50,2024-05-28 20:34,2024-05-28 20:01,2024-05-28 20:37,2024-05-07,Tuesday,2909,Snow,164
JE9022,JetBlue,MSP,CLT,2024-05-30 19:21,2024-05-30 21:24,2024-05-31 00:50,2024-05-31 01:12,2024-05-10,Friday,1035,Clear,123
UN8133,United,IAH,CLT,2024-05-20 09:58,2024-05-20 12:40,2024-05-20 14:11,2024-05-20 14:23,2024-05-14,Tuesday,613,Snow,162
SP3312,Spirit,MIA,BWI,2024-05-03 04:23,2024-05-03 06:05,2024-05-03 06:14,2024-05-03 06:52,2024-05-07,Tuesday,2036,Thunderstorm,102
SO4480,Southwest,CLT,MCO,2024-05-25 20:02,2024-05-25 22:25,2024-05-26 00:54,2024-05-26 01:37,2024-05-18,Saturday,1878,Thunderstorm,143
AM9381,American,DEN,JFK,2024-05-03 15:06,2024-05-03 16:01,2024-05-03 16:16,2024-05-03 16:42,2024-05-22,Wednesday,2776,Fog,55
UN9006,United,SFO,BOS,2024-05-16 15:34,2024-05-16 17:01,2024-05-16 20:19,2024-05-16 20:38,2024-05-30,Thursday,1672,Clear,87
UN4501,United,IAH,MIA,2024-05-04 22:33,2024-05-04 23:42,2024-05-05 01:54,2024-05-05 02:37,2024-05-08,Wednesday,1253,Rain,69
SO4321,Southwest,ORD,BWI,2024-05-11 19:07,2024-05-11 20:25,2024-05-11 21:29,2024-05-11 21:45,2024-05-17,Friday,519,Snow,78
SP3147,Spirit,PHX,BWI,2024-05-28 22:48,2024-05-28 23:09,2024-05-29 04:08,2024-05-29 04:55,2024-05-07,Tuesday,2004,Fog,21
JE8751,JetBlue,ATL,MSP,2024-05-26 09:03,2024-05-26 10:06,2024-05-26 14:05,2024-05-26 14:40,2024-05-05,Sunday,2315,Thunderstorm,63
AM5705,American,FLL,ORD,2024-05-21 06:15,2024-05-21 07:37,2024-05-21 11:32,2024-05-21 11:52,2024-05-26,Sunday,2256,Snow,82
AL798,Alaska,CLT,SEA,2024-05-06 23:15,2024-05-07 00:47,2024-05-07 03:44,2024-05-07 04:26,2024-05-14,Tuesday,1539,Thunderstorm,92
UN2227,United,ORD,LAS,2024-05-17 00:16,2024-05-17 02:40,2024-05-17 05:39,2024-05-17 05:41,2024-05-04,Saturday,531,Rain,144
SP6684,Spirit,CLT,JFK,2024-05-29 12:18,2024-05-29 12:43,2024-05-29 13:30,2024-05-29 14:23,2024-05-24,Friday,1356,Snow,25
SP8454,Spirit,DEN,PHL,2024-05-15 01:28,2024-05-15 03:04,2024-05-15 03:41,2024-05-15 04:28,2024-05-30,Thursday,2948,Snow,96
DE8903,Delta,ATL,DEN,2024-05-27 07:23,2024-05-27 08:56,2024-05-27 11:09,2024-05-27 11:47,2024-05-30,Thursday,1872,Rain,93
AL4645,Alaska,PHL,SEA,2024-05-15 18:41,2024-05-15 18:56,2024-05-15 20:42,2024-05-15 21:17,2024-05-14,Tuesday,695,Snow,15
FR9144,Frontier,MSP,SFO,2024-05-29 01:43,2024-05-29 03:09,2024-05-29 03:24,2024-05-29 03:32,2024-05-01,Wednesday,1989,Thunderstorm,86
DE7552,Delta,DTW,IAH,2024-05-21 04:55,2024-05-21 05:25,2024-05-21 08:48,2024-05-21 09:30,2024-05-20,Monday,293,Fog,30
SO5863,Southwest,MCO,PHL,2024-05-28 11:27,2024-05-28 12:22,2024-05-28 13:06,2024-05-28 13:47,2024-05-15,Wednesday,561,Rain,55
SO496,Southwest,BWI,DFW,2024-05-08 15:39,2024-05-08 15:45,2024-05-08 20:00,2024-05-08 20:57,2024-05-05,Sunday,200,Fog,6
AL3898,Alaska,IAH,DTW,2024-05-08 22:23,2024-05-08 22:26,2024-05-09 01:12,2024-05-09 01:07,2024-05-07,Tuesday,1196,Clear,3
UN3601,United,MIA,DTW,2024-05-12 19:55,2024-05-12 22:51,2024-05-12 22:17,2024-05-12 22:09,2024-05-12,Sunday,1374,Snow,176
JE727,JetBlue,PHL,DTW,2024-05-24 14:09,2024-05-24 16:27,2024-05-24 19:23,2024-05-24 20:04,2024-05-26,Sunday,717,Thunderstorm,138
SP9803,Spirit,MIA,SFO,2024-05-27 21:47,2024-05-27 22:56,2024-05-27 23:18,2024-05-27 23:15,2024-05-25,Saturday,941,Fog,69
SP7398,Spirit,DEN,LAS,2024-05-03 20:42,2024-05-03 21:35,2024-05-04 01:49,2024-05-04 02:43,2024-05-12,Sunday,2028,Thunderstorm,53
AM5990,American,CLT,DFW,2024-05-10 16:52,2024-05-10 17:23,2024-05-10 18:28,2024-05-10 18:20,2024-05-30,Thursday,2239,Thunderstorm,31
DE6379,Delta,JFK,PHX,2024-05-06 18:05,2024-05-06 18:08,2024-05-06 22:01,2024-05-06 22:31,2024-05-23,Thursday,1212,Clear,3
AL879,Alaska,JFK,ATL,2024-05-05 11:55,2024-05-05 14:34,2024-05-05 16:20,2024-05-05 16:20,2024-05-01,Wednesday,2104,Thunderstorm,159
UN9965,United,PHL,CLT,2024-05-02 15:51,2024-05-02 17:03,2024-05-02 18:28,2024-05-02 18:22,2024-05-12,Sunday,1260,Fog,72
SO4955,Southwest,DEN,DFW,2024-05-12 22:19,2024-05-12 23:28,2024-05-13 03:41,2024-05-13 03:46,2024-05-16,Thursday,1062,Snow,69
AL7293,Alaska,ATL,BWI,2024-05-30 23:10,2024-05-31 01:53,2024-05-31 04:29,2024-05-31 04:24,2024-05-20,Monday,1069,Clear,163
JE7419,JetBlue,IAH,SFO,2024-05-18 23:41,2024-05-19 00:09,2024-05-19 02:35,2024-05-19 03:06,2024-05-20,Monday,1921,Clear,28
JE8695,JetBlue,ORD,DFW,2024-05-10 18:46,2024-05-10 20:26,2024-05-10 23:21,2024-05-10 23:18,2024-05-11,Saturday,1571,Fog,100
AM1272,American,DFW,JFK,2024-05-28 19:03,2024-05-28 19:20,2024-05-28 22:55,2024-05-28 23:27,2024-05-30,Thursday,2641,Rain,17
AL189,Alaska,JFK,LAX,2024-05-15 15:29,2024-05-15 17:24,2024-05-15 20:13,2024-05-15 19:59,2024-05-12,Sunday,1510,Clear,115
JE7194,JetBlue,DTW,BOS,2024-05-30 10:36,2024-05-30 13:24,2024-05-30 14:50,2024-05-30 14:58,2024-05-14,Tuesday,960,Clear,168
FR2618,Frontier,SEA,JFK,2024-05-20 16:26,2024-05-20 16:54,2024-05-20 21:16,2024-05-20 21:03,2024-05-07,Tuesday,2718,Fog,28
SP9933,Spirit,DFW,LAS,2024-05-09 18:33,2024-05-09 20:05,2024-05-09 22:33,2024-05-09 22:52,2024-05-02,Thursday,606,Clear,92
DE4437,Delta,PHX,BWI,2024-05-19 16:22,2024-05-19 17:19,2024-05-19 20:24,2024-05-19 20:53,2024-05-05,Sunday,334,Snow,57
UN7905,United,FLL,IAH,2024-05-13 07:02,2024-05-13 07:05,2024-05-13 12:54,2024-05-13 12:39,2024-05-04,Saturday,1222,Clear,3
AL5279,Alaska,FLL,IAH,2024-05-19 00:09,2024-05-19 01:36,2024-05-19 04:28,2024-05-19 04:49,2024-05-20,Monday,1192,Rain,87
DE2508,Delta,CLT,MSP,2024-05-03 15:47,2024-05-03 15:55,2024-05-03 21:42,2024-05-03 22:35,2024-05-27,Monday,2340,Fog,8
AL9747,Alaska,FLL,IAH,2024-05-08 23:20,2024-05-08 23:30,2024-05-09 04:32,2024-05-09 05:05,2024-05-02,Thursday,1492,Thunderstorm,10
UN8144,United,LAS,FLL,2024-05-23 23:27,2024-05-24 00:54,2024-05-24 04:11,2024-05-24 04:31,2024-05-16,Thursday,1530,Clear,87
FR543,Frontier,PHX,MIA,2024-05-04 20:22,2024-05-04 22:39,2024-05-04 23:19,2024-05-04 23:56,2024-05-21,Tuesday,777,Fog,137
FR5053,Frontier,MSP,LAS,2024-05-05 13:54,2024-05-05 16:20,2024-05-05 17:39,2024-05-05 17:34,2024-05-08,Wednesday,892,Clear,146
UN3968,United,IAH,CLT,2024-05-17 13:36,2024-05-17 15:18,2024-05-17 16:46,2024-05-17 17:04,2024-05-01,Wednesday,2524,Rain,102
JE8316,JetBlue,FLL,MCO,2024-05-04 09:13,2024-05-04 11:24,2024-05-04 11:44,2024-05-04 12:32,2024-05-28,Tuesday,827,Fog,131
JE332,JetBlue,DFW,SEA,2024-05-30 18:20,2024-05-30 19:58,2024-05-30 21:17,2024-05-30 21:54,2024-05-09,Thursday,1719,Snow,98
FR7931,Frontier,BOS,MIA,2024-05-07 04:53,2024-05-07 04:59,2024-05-07 10:09,2024-05-07 10:35,2024-05-30,Thursday,1171,Snow,6
SO3681,Southwest,DTW,FLL,2024-05-03 08:54,2024-05-03 11:34,2024-05-03 12:52,2024-05-03 13:36,2024-05-18,Saturday,2136,Clear,160
SP3773,Spirit,DTW,ATL,2024-05-16 19:47,2024-05-16 20:29,2024-05-16 23:31,2024-05-17 00:16,2024-05-08,Wednesday,1769,Thunderstorm,42
DE3124,Delta,PHX,FLL,2024-05-12 05:41,2024-05-12 06:48,2024-05-12 06:43,2024-05-12 07:39,2024-05-05,Sunday,484,Clear,67
SO861,Southwest,DFW,MIA,2024-05-15 00:25,2024-05-15 00:30,2024-05-15 02:29,2024-05-15 03:05,2024-05-04,Saturday,1102,Rain,5
AL8758,Alaska,FLL,MCO,2024-05-23 03:32,2024-05-23 05:47,2024-05-23 04:55,2024-05-23 04:48,2024-05-14,Tuesday,2619,Snow,135
DE6405,Delta,FLL,BOS,2024-05-28 22:08,2024-05-29 00:08,2024-05-28 23:39,2024-05-28 23:57,2024-05-28,Tuesday,2743,Fog,120
DE2790,Delta,PHL,CLT,2024-05-28 12:12,2024-05-28 12:49,2024-05-28 15:02,2024-05-28 15:13,2024-05-17,Friday,2557,Clear,37
AL3155,Alaska,LAS,MIA,2024-05-13 01:50,2024-05-13 03:31,2024-05-13 03:45,2024-05-13 04:07,2024-05-24,Friday,1833,Thunderstorm,101
AL3539,Alaska,ORD,DEN,2024-05-03 20:30,2024-05-03 20:39,2024-05-03 22:36,2024-05-03 23:19,2024-05-02,Thursday,629,Rain,9
JE6156,JetBlue,IAH,JFK,2024-05-22 20:33,2024-05-22 21:56,2024-05-22 22:53,2024-05-22 23:53,2024-05-17,Friday,1185,Clear,83
SP7134,Spirit,MCO,BWI,2024-05-17 01:06,2024-05-17 01:11,2024-05-17 03:52,2024-05-17 04:47,2024-05-05,Sunday,225,Fog,5
SO6707,Southwest,LAS,SEA,2024-05-13 08:42,2024-05-13 09:27,2024-05-13 13:25,2024-05-13 13:15,2024-05-13,Monday,313,Thunderstorm,45
AL9107,Alaska,FLL,MSP,2024-05-21 00:12,2024-05-21 01:19,2024-05-21 03:34,2024-05-21 04:17,2024-05-17,Friday,2210,Rain,67
JE1756,JetBlue,ORD,PHL,2024-05-25 16:33,2024-05-25 17:30,2024-05-25 20:48,2024-05-25 20:45,2024-05-15,Wednesday,633,Rain,57
JE7500,JetBlue,PHL,MSP,2024-05-17 23:05,2024-05-17 23:50,2024-05-18 04:54,2024-05-18 05:16,2024-05-07,Tuesday,906,Snow,45
FR6295,Frontier,ORD,JFK,2024-05-25 10:31,2024-05-25 11:13,2024-05-25 11:51,2024-05-25 12:19,2024-05-05,Sunday,2602,Fog,42
UN2022,United,CLT,DFW,2024-05-23 01:14,2024-05-23 01:58,2024-05-23 06:54,2024-05-23 06:49,2024-05-28,Tuesday,2409,Clear,44
JE3717,JetBlue,SFO,PHL,2024-05-22 09:24,2024-05-22 09:41,2024-05-22 12:10,2024-05-22 12:13,2024-05-05,Sunday,265,Rain,17
DE1011,Delta,FLL,MSP,2024-05-10 23:51,2024-05-11 02:37,2024-05-11 01:56,2024-05-11 01:58,2024-05-01,Wednesday,1879,Thunderstorm,166
DE7252,Delta,DTW,PHL,2024-05-07 21:51,2024-05-07 23:54,2024-05-08 01:18,2024-05-08 01:05,2024-05-30,Thursday,705,Thunderstorm,123
FR8959,Frontier,MSP,SFO,2024-05-23 22:55,2024-05-24 01:25,2024-05-24 04:54,2024-05-24 04:43,2024-05-28,Tuesday,663,Thunderstorm,150
JE5509,JetBlue,DTW,BWI,2024-05-22 20:09,2024-05-22 22:08,2024-05-22 23:44,2024-05-23 00:32,2024-05-05,Sunday,2805,Fog,119
AM2004,American,PHX,FLL,2024-05-22 07:08,2024-05-22 09:52,2024-05-22 11:56,2024-05-22 12:36,2024-05-22,Wednesday,2170,Snow,164
AL407,Alaska,FLL,BOS,2024-05-10 04:18,2024-05-10 05:40,2024-05-10 07:17,2024-05-10 07:28,2024-05-24,Friday,725,Clear,82
FR8331,Frontier,DTW,SFO,2024-05-28 03:57,2024-05-28 04:31,2024-05-28 09:38,2024-05-28 09:25,2024-05-20,Monday,1123,Clear,34
JE7114,JetBlue,DFW,LAS,2024-05-25 03:07,2024-05-25 05:11,2024-05-25 06:07,2024-05-25 06:32,2024-05-09,Thursday,1291,Rain,124
JE4845,JetBlue,ORD,DTW,2024-05-19 18:40,2024-05-19 20:14,2024-05-19 20:37,2024-05-19 20:46,2024-05-02,Thursday,2025,Fog,94
AM2778,American,IAH,PHL,2024-05-07 03:21,2024-05-07 05:48,2024-05-07 04:48,2024-05-07 05:26,2024-05-27,Monday,317,Thunderstorm,147
UN270,United,CLT,MIA,2024-05-18 06:38,2024-05-18 06:40,2024-05-18 11:16,2024-05-18 11:13,2024-05-19,Sunday,796,Fog,2
SP5041,Spirit,DTW,PHL,2024-05-26 04:27,2024-05-26 07:20,2024-05-26 08:42,2024-05-26 09:03,2024-05-14,Tuesday,1924,Thunderstorm,173
SO3099,Southwest,BOS,PHX,2024-05-22 00:59,2024-05-22 01:19,2024-05-22 06:35,2024-05-22 07:02,2024-05-20,Monday,2651,Fog,20
SP9712,Spirit,BWI,JFK,2024-05-07 21:49,2024-05-07 23:19,2024-05-08 02:05,2024-05-08 02:20,2024-05-17,Friday,2057,Fog,90
DE3083,Delta,MCO,MSP,2024-05-10 09:50,2024-05-10 09:58,2024-05-10 13:18,2024-05-10 13:07,2024-05-24,Friday,907,Clear,8
AM2594,American,ATL,LAX,2024-05-21 10:16,2024-05-21 11:12,2024-05-21 12:35,2024-05-21 13:03,2024-05-27,Monday,2758,Thunderstorm,56
JE4292,JetBlue,CLT,FLL,2024-05-14 18:13,2024-05-14 18:15,2024-05-14 23:28,2024-05-14 23:40,2024-05-24,Friday,1344,Fog,2
AL7819,Alaska,PHL,BOS,2024-05-06 01:03,2024-05-06 03:36,2024-05-06 04:50,2024-05-06 05:07,2024-05-19,Sunday,2935,Snow,153
SP5257,Spirit,DTW,JFK,2024-05-16 04:51,2024-05-16 06:33,2024-05-16 10:46,2024-05-16 10:43,2024-05-07,Tuesday,880,Snow,102
FR5474,Frontier,ATL,LAX,2024-05-19 12:31,2024-05-19 14:40,2024-05-19 16:51,2024-05-19 17:38,2024-05-22,Wednesday,1524,Snow,129
JE4337,JetBlue,BOS,IAH,2024-05-18 14:20,2024-05-18 16:00,2024-05-18 19:30,2024-05-18 20:22,2024-05-06,Monday,2860,Clear,100
AM8311,American,MIA,CLT,2024-05-10 18:03,2024-05-10 18:50,2024-05-10 21:29,2024-05-10 21:40,2024-05-26,Sunday,2145,Rain,47
AL432,Alaska,SEA,DEN,2024-05-15 10:18,2024-05-15 12:28,2024-05-15 15:13,2024-05-15 15:26,2024-05-23,Thursday,1234,Clear,130
SP9654,Spirit,DEN,FLL,2024-05-13 06:43,2024-05-13 07:28,2024-05-13 11:33,2024-05-13 11:27,2024-05-16,Thursday,2612,Clear,45
UN623,United,MSP,FLL,2024-05-02 14:03,2024-05-02 16:36,2024-05-02 16:29,2024-05-02 16:48,2024-05-19,Sunday,1192,Thunderstorm,153
SP7626,Spirit,ATL,FLL,2024-05-21 12:50,2024-05-21 14:57,2024-05-21 17:33,2024-05-21 17:54,2024-05-05,Sunday,1844,Snow,127
DE9546,Delta,IAH,DEN,2024-05-08 11:50,2024-05-08 14:24,2024-05-08 15:34,2024-05-08 15:40,2024-05-29,Wednesday,1185,Snow,154
AL6903,Alaska,JFK,CLT,2024-05-16 05:33,2024-05-16 06:45,2024-05-16 11:09,2024-05-16 11:09,2024-05-04,Saturday,934,Fog,72
AL9861,Alaska,PHX,ATL,2024-05-14 21:40,2024-05-14 22:06,2024-05-15 02:40,2024-05-15 03:35,2024-05-10,Friday,2218,Snow,26
AM1015,American,ORD,LAX,2024-05-26 02:19,2024-05-26 04:51,2024-05-26 03:55,2024-05-26 03:42,2024-05-18,Saturday,459,Thunderstorm,152
AM4644,American,MIA,MCO,2024-05-02 20:48,2024-05-02 20:59,2024-05-02 22:30,2024-05-02 22:16,2024-05-22,Wednesday,520,Thunderstorm,11
AM1878,American,SEA,PHL,2024-05-27 06:02,2024-05-27 07:54,2024-05-27 10:02,2024-05-27 10:54,2024-05-30,Thursday,436,Thunderstorm,112
FR4122,Frontier,SFO,IAH,2024-05-30 15:34,2024-05-30 16:34,2024-05-30 18:41,2024-05-30 19:02,2024-05-02,Thursday,2537,Thunderstorm,60
SO7320,Southwest,MCO,BOS,2024-05-26 23:45,2024-05-27 00:13,2024-05-27 04:41,2024-05-27 05:05,2024-05-08,Wednesday,2591,Rain,28
JE9557,JetBlue,CLT,ATL,2024-05-05 04:27,2024-05-05 04:41,2024-05-05 05:31,2024-05-05 06:11,2024-05-20,Monday,2258,Snow,14
JE820,JetBlue,SFO,MIA,2024-05-01 11:47,2024-05-01 12:06,2024-05-01 13:49,2024-05-01 14:05,2024-05-14,Tuesday,1443,Fog,19
SP8372,Spirit,MCO,FLL,2024-05-27 21:54,2024-05-28 00:28,2024-05-28 03:25,2024-05-28 03:14,2024-05-15,Wednesday,1072,Snow,154
AM9555,American,DEN,ATL,2024-05-23 17:10,2024-05-23 19:10,2024-05-23 21:56,2024-05-23 22:56,2024-05-28,Tuesday,1372,Thunderstorm,120
SO1532,Southwest,SEA,BWI,2024-05-16 08:07,2024-05-16 08:46,2024-05-16 12:38,2024-05-16 12:51,2024-05-07,Tuesday,959,Rain,39
AM2234,American,IAH,SFO,2024-05-12 06:01,2024-05-12 06:14,2024-05-12 09:18,2024-05-12 10:06,2024-05-25,Saturday,2789,Fog,13
JE2456,JetBlue,BWI,MIA,2024-05-25 22:04,2024-05-25 22:49,2024-05-25 23:27,2024-05-26 00:27,2024-05-23,Thursday,2289,Rain,45
SP6670,Spirit,DFW,ATL,2024-05-25 02:50,2024-05-25 04:15,2024-05-25 05:04,2024-05-25 05:56,2024-05-25,Saturday,1249,Fog,85
SO5347,Southwest,ORD,CLT,2024-05-23 03:19,2024-05-23 03:53,2024-05-23 07:00,2024-05-23 07:14,2024-05-27,Monday,244,Fog,34
UN5240,United,SFO,LAS,2024-05-13 06:03,2024-05-13 08:15,2024-05-13 08:55,2024-05-13 09:36,2024-05-13,Monday,359,Rain,132
DE9751,Delta,MIA,DTW,2024-05-18 02:35,2024-05-18 04:32,2024-05-18 04:21,2024-05-18 04:06,2024-05-16,Thursday,692,Fog,117
JE5099,JetBlue,MIA,SEA,2024-05-16 10:14,2024-05-16 11:41,2024-05-16 14:30,2024-05-16 14:51,2024-05-02,Thursday,973,Thunderstorm,87
FR446,Frontier,PHL,LAX,2024-05-14 21:53,2024-05-14 23:51,2024-05-15 03:35,2024-05-15 03:22,2024-05-27,Monday,2222,Thunderstorm,118
UN1356,United,PHX,DTW,2024-05-04 01:51,2024-05-04 03:40,2024-05-04 07:30,2024-05-04 08:02,2024-05-04,Saturday,2738,Clear,109
FR5077,Frontier,MIA,DEN,2024-05-27 00:01,2024-05-27 00:10,2024-05-27 04:43,2024-05-27 05:27,2024-05-14,Tuesday,1930,Thunderstorm,9
AL1351,Alaska,DEN,DFW,2024-05-25 22:27,2024-05-25 23:39,2024-05-26 03:29,2024-05-26 04:10,2024-05-26,Sunday,1933,Fog,72
AM3278,American,BOS,JFK,2024-05-19 07:22,2024-05-19 07:59,2024-05-19 08:42,2024-05-19 09:08,2024-05-23,Thursday,2228,Clear,37
JE3454,JetBlue,PHL,DEN,2024-05-18 01:15,2024-05-18 01:55,2024-05-18 05:11,2024-05-18 05:17,2024-05-18,Saturday,855,Thunderstorm,40
FR5744,Frontier,IAH,PHX,2024-05-05 22:18,2024-05-05 22:36,2024-05-05 23:54,2024-05-06 00:20,2024-05-11,Saturday,1529,Thunderstorm,18
AL5543,Alaska,PHX,DFW,2024-05-14 16:25,2024-05-14 17:00,2024-05-14 18:39,2024-05-14 18:54,2024-05-11,Saturday,1877,Thunderstorm,35
AL9131,Alaska,LAX,FLL,2024-05-19 21:39,2024-05-20 00:10,2024-05-19 23:26,2024-05-19 23:38,2024-05-12,Sunday,2235,Clear,151
AM7366,American,DEN,SEA,2024-05-26 07:48,2024-05-26 09:06,2024-05-26 10:38,2024-05-26 11:04,2024-05-26,Sunday,278,Clear,78
AL7984,Alaska,ORD,DTW,2024-05-29 18:12,2024-05-29 19:42,2024-05-29 20:25,2024-05-29 20:23,2024-05-01,Wednesday,621,Clear,90
FR5842,Frontier,DEN,IAH,2024-05-01 22:32,2024-05-02 01:24,2024-05-02 00:16,2024-05-02 00:50,2024-05-03,Friday,2201,Thunderstorm,172
UN1497,United,CLT,IAH,2024-05-12 11:11,2024-05-12 13:48,2024-05-12 15:04,2024-05-12 15:50,2024-05-14,Tuesday,2796,Fog,157
SO8781,Southwest,DFW,BWI,2024-05-02 13:05,2024-05-02 15:25,2024-05-02 18:51,2024-05-02 19:14,2024-05-28,Tuesday,310,Thunderstorm,140
AM3319,American,BOS,LAX,2024-05-15 18:15,2024-05-15 20:16,2024-05-15 19:34,2024-05-15 20:32,2024-05-01,Wednesday,2988,Snow,121
DE8411,Delta,BWI,LAS,2024-05-02 20:43,2024-05-02 22:38,2024-05-03 01:23,2024-05-03 01:19,2024-05-19,Sunday,312,Fog,115
UN7806,United,LAS,FLL,2024-05-17 10:07,2024-05-17 12:18,2024-05-17 15:04,2024-05-17 15:22,2024-05-06,Monday,2701,Thunderstorm,131
SP5216,Spirit,MIA,DEN,2024-05-04 07:06,2024-05-04 09:04,2024-05-04 09:33,2024-05-04 10:13,2024-05-14,Tuesday,333,Snow,118
SP7055,Spirit,DTW,LAS,2024-05-03 17:13,2024-05-03 17:39,2024-05-03 18:34,2024-05-03 19:34,2024-05-16,Thursday,286,Clear,26
JE678,JetBlue,JFK,SEA,2024-05-01 19:52,2024-05-01 21:53,2024-05-02 00:38,2024-05-02 00:55,2024-05-26,Sunday,1259,Thunderstorm,121
AL9600,Alaska,JFK,BWI,2024-05-12 16:30,2024-05-12 17:38,2024-05-12 17:59,2024-05-12 18:41,2024-05-28,Tuesday,1830,Thunderstorm,68
AM844,American,JFK,BWI,2024-05-25 10:53,2024-05-25 13:49,2024-05-25 12:57,2024-05-25 12:43,2024-05-21,Tuesday,1633,Clear,176
AL7960,Alaska,SFO,LAS,2024-05-12 22:45,2024-05-13 01:27,2024-05-13 02:54,2024-05-13 03:33,2024-05-14,Tuesday,865,Thunderstorm,162
SO566,Southwest,MCO,LAX,2024-05-22 02:58,2024-05-22 05:35,2024-05-22 06:48,2024-05-22 07:03,2024-05-11,Saturday,2728,Thunderstorm,157
AL882,Alaska,ORD,JFK,2024-05-20 10:06,2024-05-20 12:13,2024-05-20 12:41,2024-05-20 12:57,2024-05-18,Saturday,1780,Thunderstorm,127
DE5670,Delta,FLL,DEN,2024-05-10 15:27,2024-05-10 18:15,2024-05-10 20:56,2024-05-10 20:43,2024-05-16,Thursday,2396,Thunderstorm,168
AL4838,Alaska,DFW,LAS,2024-05-16 21:48,2024-05-17 00:08,2024-05-16 23:26,2024-05-16 23:18,2024-05-27,Monday,2393,Snow,140
AL9696,Alaska,BOS,SFO,2024-05-06 17:41,2024-05-06 20:08,2024-05-06 22:42,2024-05-06 22:47,2024-05-20,Monday,1322,Clear,147
FR970,Frontier,PHL,BOS,2024-05-21 21:33,2024-05-21 23:20,2024-05-21 22:35,2024-05-21 22:20,2024-05-09,Thursday,2143,Clear,107
JE8348,JetBlue,IAH,ORD,2024-05-19 10:47,2024-05-19 11:53,2024-05-19 12:10,2024-05-19 12:19,2024-05-14,Tuesday,2232,Clear,66
UN8325,United,BOS,ATL,2024-05-03 16:21,2024-05-03 18:01,2024-05-03 18:25,2024-05-03 18:46,2024-05-29,Wednesday,1780,Rain,100
SP418,Spirit,SFO,ORD,2024-05-26 15:25,2024-05-26 17:51,2024-05-26 20:48,2024-05-26 20:53,2024-05-10,Friday,748,Clear,146
DE2686,Delta,DEN,BOS,2024-05-26 22:49,2024-05-26 23:17,2024-05-27 03:14,2024-05-27 03:13,2024-05-26,Sunday,575,Snow,28
SO3039,Southwest,JFK,MIA,2024-05-20 00:37,2024-05-20 01:07,2024-05-20 03:00,2024-05-20 03:07,2024-05-07,Tuesday,483,Fog,30
AL228,Alaska,DEN,ATL,2024-05-28 21:45,2024-05-28 23:38,2024-05-29 00:38,2024-05-29 00:25,2024-05-12,Sunday,1151,Rain,113
FR5138,Frontier,IAH,MSP,2024-05-10 18:54,2024-05-10 19:32,2024-05-11 00:18,2024-05-11 00:59,2024-05-18,Saturday,1167,Rain,38
DE3464,Delta,FLL,PHL,2024-05-21 20:39,2024-05-21 22:38,2024-05-22 01:10,2024-05-22 02:00,2024-05-15,Wednesday,924,Rain,119
FR2411,Frontier,DEN,CLT,2024-05-24 18:29,2024-05-24 20:49,2024-05-24 23:30,2024-05-24 23:42,2024-05-30,Thursday,2557,Rain,140
JE2668,JetBlue,BOS,DFW,2024-05-11 07:57,2024-05-11 09:50,2024-05-11 09:59,2024-05-11 10:54,2024-05-03,Friday,2564,Thunderstorm,113
UN2060,United,MCO,SFO,2024-05-25 13:03,2024-05-25 14:49,2024-05-25 18:54,2024-05-25 19:25,2024-05-24,Friday,2338,Rain,106
UN9840,United,DFW,MSP,2024-05-16 03:21,2024-05-16 06:19,2024-05-16 08:27,2024-05-16 08:12,2024-05-15,Wednesday,2742,Fog,178
AL6244,Alaska,DTW,BWI,2024-05-06 21:27,2024-05-06 22:07,2024-05-07 00:08,2024-05-07 00:35,2024-05-13,Monday,1597,Thunderstorm,40
UN1473,United,MIA,JFK,2024-05-08 05:16,2024-05-08 06:36,2024-05-08 07:35,2024-05-08 07:46,2024-05-05,Sunday,1277,Thunderstorm,80
JE5960,JetBlue,MCO,PHL,2024-05-24 00:56,2024-05-24 01:26,2024-05-24 02:24,2024-05-24 03:15,2024-05-11,Saturday,686,Rain,30
JE5295,JetBlue,PHX,LAX,2024-05-13 13:33,2024-05-13 15:38,2024-05-13 17:05,2024-05-13 17:48,2024-05-11,Saturday,688,Clear,125
SP9469,Spirit,DFW,PHX,2024-05-23 13:02,2024-05-23 15:06,2024-05-23 15:11,2024-05-23 16:04,2024-05-26,Sunday,2292,Snow,124
FR7915,Frontier,CLT,BOS,2024-05-28 05:05,2024-05-28 06:17,2024-05-28 06:42,2024-05-28 06:35,2024-05-07,Tuesday,2442,Snow,72
